"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","4.244,081","4.307,750","4.388,363","3.900,549","-1,48%"
"Feb 2026","4.308,039","4.071,531","4.308,328","3.840,363","5,80%"
"Ene 2026","4.071,802","3.822,478","4.072,073","3.815,080","6,52%"
"Dic 2025","3.822,737","3.794,862","3.853,578","3.698,650","0,40%"
"Nov 2025","3.807,466","4.029,178","4.029,726","3.732,363","-5,51%"
"Oct 2025","4.029,452","3.940,929","4.068,164","3.880,120","2,67%"
"Sep 2025","3.924,507","3.650,187","3.934,518","3.620,368","8,40%"
"Ago 2025","3.620,368","3.529,823","3.669,680","3.474,560","0,69%"
"Jul 2025","3.595,517","3.266,357","3.607,785","3.266,357","8,16%"
"Jun 2025","3.324,383","3.169,603","3.324,383","3.167,072","4,31%"
"May 2025","3.187,015","3.086,690","3.237,720","3.057,432","3,24%"
"Abr 2025","3.086,901","3.071,237","3.158,948","2.883,395","-2,07%"
"Mar 2025","3.152,197","3.196,795","3.196,795","3.037,151","0,85%"
"Feb 2025","3.125,638","3.154,390","3.231,709","3.077,480","-1,16%"
"Ene 2025","3.162,431","3.200,230","3.207,151","3.083,169","-0,69%"
"Dic 2024","3.184,358","3.135,460","3.247,546","3.133,144","0,95%"
"Nov 2024","3.154,517","3.238,271","3.306,005","3.119,394","-1,74%"
"Oct 2024","3.210,481","3.124,745","3.345,639","3.124,317","4,30%"
"Sep 2024","3.078,043","3.015,436","3.097,979","2.955,085","1,87%"
"Ago 2024","3.021,683","3.074,642","3.106,549","2.880,990","-1,43%"
"Jul 2024","3.065,418","3.096,745","3.157,443","3.054,916","-1,94%"
"Jun 2024","3.126,140","2.956,833","3.126,140","2.864,180","5,32%"
"May 2024","2.968,149","2.942,513","2.991,236","2.909,390","2,00%"
"Abr 2024","2.910,052","2.997,772","3.044,500","2.848,862","-3,11%"
"Mar 2024","3.003,319","2.907,598","3.013,986","2.850,666","2,76%"
"Feb 2024","2.922,517","2.684,491","2.941,567","2.642,199","10,13%"
"Ene 2024","2.653,787","2.645,771","2.673,621","2.544,348","1,18%"
"Dic 2023","2.622,731","2.544,277","2.627,139","2.501,390","2,61%"
"Nov 2023","2.556,128","2.488,896","2.642,219","2.488,694","0,39%"
"Oct 2023","2.546,139","2.589,630","2.715,931","2.546,139","-2,10%"
"Sep 2023","2.600,669","2.567,571","2.661,890","2.552,945","0,84%"
"Ago 2023","2.578,992","2.632,204","2.674,997","2.485,442","-0,73%"
"Jul 2023","2.597,922","2.428,844","2.602,808","2.421,855","6,51%"
"Jun 2023","2.439,111","2.405,412","2.507,248","2.394,843","1,28%"
"May 2023","2.408,319","2.443,945","2.446,619","2.363,218","-0,87%"
"Abr 2023","2.429,451","2.462,838","2.544,311","2.428,005","-0,93%"
"Mar 2023","2.452,246","2.526,126","2.526,126","2.393,684","-1,32%"
"Feb 2023","2.485,009","2.670,279","2.670,279","2.470,737","-7,52%"
"Ene 2023","2.686,980","2.558,456","2.687,982","2.557,865","4,40%"
"Dic 2022","2.573,657","2.636,966","2.687,267","2.552,648","-1,33%"
"Nov 2022","2.608,355","2.376,658","2.688,271","2.376,124","6,60%"
"Oct 2022","2.446,885","2.594,577","2.630,356","2.446,885","-5,97%"
"Sep 2022","2.602,366","2.682,764","2.746,370","2.591,869","-4,53%"
"Ago 2022","2.725,880","2.779,581","2.885,169","2.725,880","-3,40%"
"Jul 2022","2.821,940","2.899,604","3.139,873","2.821,940","-2,53%"
"Jun 2022","2.895,255","2.672,960","2.895,255","2.632,311","10,67%"
"May 2022","2.616,148","2.776,961","2.799,900","2.579,052","-4,26%"
"Abr 2022","2.732,458","2.735,261","2.767,344","2.671,023","1,92%"
"Mar 2022","2.681,043","2.871,985","2.871,985","2.563,073","-5,01%"
"Feb 2022","2.822,339","2.909,721","3.082,766","2.822,339","-2,38%"
"Ene 2022","2.891,092","3.161,615","3.214,450","2.891,092","-8,51%"
"Dic 2021","3.159,901","3.143,159","3.231,790","3.125,660","1,54%"
"Nov 2021","3.111,988","3.156,427","3.265,798","3.096,457","-1,53%"
"Oct 2021","3.160,202","3.068,184","3.249,925","3.040,322","3,07%"
"Sep 2021","3.066,190","3.052,136","3.154,761","2.998,111","0,66%"
"Ago 2021","3.046,180","2.973,365","3.108,164","2.952,641","2,45%"
"Jul 2021","2.973,365","3.053,370","3.087,229","2.894,385","-2,47%"
"Jun 2021","3.048,781","3.017,145","3.062,775","2.982,917","0,78%"
"May 2021","3.025,279","2.946,036","3.029,521","2.810,749","3,29%"
"Abr 2021","2.928,973","2.957,743","2.994,446","2.851,935","-2,55%"
"Mar 2021","3.005,511","3.024,020","3.149,647","2.928,277","-2,22%"
"Feb 2021","3.073,732","3.044,278","3.243,065","3.042,253","-1,43%"
"Ene 2021","3.118,181","2.813,942","3.195,555","2.813,667","12,61%"
"Dic 2020","2.769,120","2.922,107","2.922,107","2.740,613","-4,69%"
"Nov 2020","2.905,363","2.677,062","2.944,569","2.672,971","7,61%"
"Oct 2020","2.699,987","2.617,287","2.825,776","2.617,287","3,39%"
"Sep 2020","2.611,490","2.710,972","2.710,972","2.566,917","-2,86%"
"Ago 2020","2.688,331","2.512,588","2.733,157","2.512,588","5,96%"
"Jul 2020","2.537,191","2.502,023","2.613,339","2.501,534","1,50%"
"Jun 2020","2.499,646","2.280,673","2.530,564","2.280,227","9,26%"
"May 2020","2.287,815","2.386,575","2.386,575","2.226,574","-3,85%"
"Abr 2020","2.379,346","2.192,167","2.387,039","2.192,167","9,16%"
"Mar 2020","2.179,605","2.506,798","2.590,229","2.083,783","-14,79%"
"Feb 2020","2.557,979","2.575,192","2.645,077","2.535,650","-1,28%"
"Ene 2020","2.591,031","2.505,464","2.677,338","2.504,982","3,91%"
"Dic 2019","2.493,585","2.576,934","2.576,934","2.453,866","-6,22%"
"Nov 2019","2.658,935","2.319,422","2.658,935","2.318,530","16,02%"
"Oct 2019","2.291,725","2.214,370","2.291,725","2.168,933","2,89%"
"Sep 2019","2.227,363","2.170,545","2.237,810","2.167,914","3,31%"
"Ago 2019","2.156,081","2.207,670","2.207,670","2.081,289","-2,29%"
"Jul 2019","2.206,640","2.163,551","2.216,117","2.162,089","1,95%"
"Jun 2019","2.164,434","2.123,388","2.164,958","2.092,398","2,23%"
"May 2019","2.117,252","2.189,853","2.230,987","2.079,718","-4,28%"
"Abr 2019","2.212,025","2.177,110","2.212,025","2.174,580","2,14%"
"Mar 2019","2.165,760","2.052,720","2.167,885","2.044,729","5,09%"
"Feb 2019","2.060,777","2.027,782","2.064,362","2.014,615","1,86%"
"Ene 2019","2.023,120","2.006,794","2.035,344","1.966,585","1,51%"
"Dic 2018","1.993,078","2.001,336","2.033,234","1.957,508","-0,53%"
"Nov 2018","2.003,767","1.928,583","2.010,214","1.928,583","3,90%"
"Oct 2018","1.928,583","2.099,814","2.099,814","1.913,901","-8,43%"
"Sep 2018","2.106,189","2.197,287","2.227,102","2.106,189","-4,15%"
"Ago 2018","2.197,287","2.124,557","2.197,287","2.097,212","3,42%"
"Jul 2018","2.124,557","2.149,850","2.173,395","2.119,111","0,65%"
"Jun 2018","2.110,844","2.166,171","2.249,343","2.110,844","-2,55%"
"May 2018","2.166,171","2.083,367","2.219,838","2.076,978","3,76%"
"Abr 2018","2.087,708","2.110,573","2.122,153","2.081,012","-1,03%"
"Mar 2018","2.109,514","2.119,803","2.200,105","2.105,091","-1,28%"
"Feb 2018","2.136,940","2.252,950","2.255,890","2.064,660","-6,42%"
"Ene 2018","2.283,423","2.150,935","2.283,423","2.150,298","6,56%"
"Dic 2017","2.142,946","2.210,184","2.241,175","2.131,491","-3,89%"
"Nov 2017","2.229,770","2.165,902","2.241,075","2.158,164","3,68%"
"Oct 2017","2.150,542","2.080,359","2.150,542","2.079,955","4,23%"
"Sep 2017","2.063,200","2.064,068","2.082,987","2.017,790","0,33%"
"Ago 2017","2.056,429","2.109,559","2.123,489","2.041,363","-2,13%"
"Jul 2017","2.101,284","2.055,781","2.101,693","2.044,702","1,87%"
