"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Jun 2025","2.847,110","2.827,191","2.850,268","2.827,191","0,61%"
"May 2025","2.829,838","2.797,438","2.852,369","2.788,490","1,16%"
"Abr 2025","2.797,362","2.768,006","2.797,362","2.670,515","1,09%"
"Mar 2025","2.767,309","2.788,405","2.788,405","2.726,007","-0,65%"
"Feb 2025","2.785,293","2.828,629","2.828,629","2.773,573","-1,18%"
"Ene 2025","2.818,609","2.769,411","2.822,251","2.750,806","1,77%"
"Dic 2024","2.769,647","2.807,753","2.827,496","2.769,631","-1,23%"
"Nov 2024","2.804,198","2.769,759","2.828,602","2.753,814","1,48%"
"Oct 2024","2.763,208","2.725,628","2.790,098","2.724,273","1,63%"
"Sep 2024","2.718,917","2.664,291","2.718,917","2.664,291","1,93%"
"Ago 2024","2.667,329","2.651,552","2.674,987","2.579,928","0,46%"
"Jul 2024","2.655,170","2.611,165","2.657,321","2.603,607","1,24%"
"Jun 2024","2.622,684","2.574,969","2.622,684","2.555,360","2,16%"
"May 2024","2.567,331","2.587,472","2.610,827","2.567,331","-0,21%"
"Abr 2024","2.572,754","2.687,039","2.687,280","2.552,270","-3,98%"
"Mar 2024","2.679,328","2.629,745","2.679,328","2.603,628","1,60%"
"Feb 2024","2.637,167","2.512,229","2.637,167","2.512,229","5,16%"
"Ene 2024","2.507,677","2.473,882","2.507,677","2.443,781","0,82%"
"Dic 2023","2.487,273","2.350,838","2.487,273","2.350,838","6,08%"
"Nov 2023","2.344,683","2.234,055","2.352,872","2.234,055","4,13%"
"Oct 2023","2.251,734","2.311,358","2.365,089","2.251,734","-3,04%"
"Sep 2023","2.322,285","2.332,678","2.369,387","2.320,680","-0,38%"
"Ago 2023","2.331,179","2.357,842","2.390,940","2.290,669","-0,57%"
"Jul 2023","2.344,483","2.249,682","2.357,002","2.247,461","4,31%"
"Jun 2023","2.247,697","2.196,619","2.268,348","2.195,995","2,35%"
"May 2023","2.196,144","2.218,420","2.218,958","2.190,038","-0,48%"
"Abr 2023","2.206,725","2.198,158","2.251,796","2.198,059","0,67%"
"Mar 2023","2.191,930","2.228,609","2.250,114","2.167,215","-0,63%"
"Feb 2023","2.205,927","2.255,256","2.255,256","2.181,392","-2,13%"
"Ene 2023","2.254,028","2.240,100","2.257,474","2.230,297","0,38%"
"Dic 2022","2.245,471","2.301,066","2.313,547","2.237,169","-2,43%"
"Nov 2022","2.301,349","2.199,368","2.343,534","2.199,368","3,98%"
"Oct 2022","2.213,274","2.180,877","2.229,387","2.143,425","1,22%"
"Sep 2022","2.186,539","2.231,480","2.272,300","2.186,539","-2,84%"
"Ago 2022","2.250,475","2.276,999","2.339,502","2.250,475","-1,35%"
"Jul 2022","2.281,338","2.259,395","2.376,903","2.259,395","1,18%"
"Jun 2022","2.254,709","2.206,820","2.257,694","2.160,854","3,18%"
"May 2022","2.185,246","2.200,352","2.217,034","2.146,993","-0,80%"
"Abr 2022","2.202,811","2.199,478","2.221,275","2.173,450","1,53%"
"Mar 2022","2.169,576","2.226,853","2.227,795","2.138,417","-1,74%"
"Feb 2022","2.208,035","2.248,740","2.318,737","2.205,649","-1,53%"
"Ene 2022","2.242,447","2.421,896","2.439,736","2.242,447","-7,63%"
"Dic 2021","2.427,734","2.377,968","2.441,991","2.354,657","2,30%"
"Nov 2021","2.373,267","2.342,442","2.414,073","2.342,442","1,74%"
"Oct 2021","2.332,777","2.318,709","2.350,802","2.303,273","0,51%"
"Sep 2021","2.320,919","2.351,500","2.357,033","2.299,637","-1,28%"
"Ago 2021","2.350,916","2.296,452","2.350,916","2.290,268","2,58%"
"Jul 2021","2.291,798","2.298,240","2.305,362","2.275,429","-0,19%"
"Jun 2021","2.296,107","2.277,941","2.315,471","2.258,686","0,85%"
"May 2021","2.276,783","2.247,372","2.276,783","2.216,273","1,36%"
"Abr 2021","2.246,328","2.253,237","2.282,755","2.246,328","-1,03%"
"Mar 2021","2.269,767","2.251,892","2.298,977","2.236,856","0,52%"
"Feb 2021","2.258,106","2.250,109","2.340,524","2.249,987","-1,18%"
"Ene 2021","2.285,125","2.176,030","2.309,292","2.174,947","5,71%"
"Dic 2020","2.161,710","2.206,372","2.206,372","2.150,156","-1,69%"
"Nov 2020","2.198,914","2.035,309","2.212,840","2.035,122","7,38%"
"Oct 2020","2.047,777","2.039,412","2.136,690","2.039,412","0,43%"
"Sep 2020","2.039,073","2.099,579","2.099,579","2.030,663","-2,62%"
"Ago 2020","2.093,928","2.010,523","2.111,304","2.010,523","3,40%"
"Jul 2020","2.025,085","2.006,597","2.053,858","2.006,437","0,60%"
"Jun 2020","2.013,043","1.911,673","2.026,730","1.911,543","5,16%"
"May 2020","1.914,200","1.885,267","1.916,962","1.852,788","2,43%"
"Abr 2020","1.868,875","1.740,454","1.868,875","1.740,454","8,39%"
"Mar 2020","1.724,232","1.971,019","2.014,271","1.648,339","-13,74%"
