"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","2.832,795","2.828,181","2.846,273","2.824,389","0,18%"
"Feb 2026","2.827,633","2.811,163","2.827,633","2.808,513","0,59%"
"Ene 2026","2.811,150","2.792,895","2.811,150","2.792,016","0,67%"
"Dic 2025","2.792,456","2.782,894","2.792,456","2.781,712","0,32%"
"Nov 2025","2.783,662","2.767,733","2.784,690","2.766,717","0,59%"
"Oct 2025","2.767,225","2.760,463","2.768,503","2.759,166","0,28%"
"Sep 2025","2.759,527","2.741,298","2.759,527","2.738,933","0,69%"
"Ago 2025","2.740,689","2.720,388","2.742,873","2.717,398","0,86%"
"Jul 2025","2.717,398","2.696,190","2.717,398","2.692,548","0,79%"
"Jun 2025","2.696,142","2.682,669","2.696,660","2.681,759","0,55%"
"May 2025","2.681,397","2.683,042","2.684,443","2.676,028","-0,04%"
"Abr 2025","2.682,447","2.657,306","2.682,447","2.653,980","1,07%"
"Mar 2025","2.653,980","2.629,223","2.653,980","2.629,223","0,99%"
"Feb 2025","2.627,989","2.604,521","2.627,989","2.604,521","0,91%"
"Ene 2025","2.604,174","2.583,322","2.608,802","2.583,322","0,93%"
"Dic 2024","2.580,292","2.591,221","2.601,167","2.579,582","-0,31%"
"Nov 2024","2.588,353","2.555,459","2.590,774","2.555,459","1,37%"
"Oct 2024","2.553,442","2.590,473","2.597,156","2.553,442","-1,23%"
"Sep 2024","2.585,363","2.537,307","2.585,363","2.536,738","1,97%"
"Ago 2024","2.535,461","2.482,582","2.536,122","2.482,582","2,21%"
"Jul 2024","2.480,731","2.438,578","2.480,731","2.438,578","1,77%"
"Jun 2024","2.437,658","2.423,576","2.446,407","2.423,576","0,50%"
"May 2024","2.425,590","2.396,395","2.431,645","2.396,395","1,39%"
"Abr 2024","2.392,238","2.397,349","2.404,104","2.375,567","-0,21%"
"Mar 2024","2.397,242","2.366,910","2.397,242","2.366,910","1,15%"
"Feb 2024","2.369,942","2.353,309","2.381,580","2.353,309","0,76%"
"Ene 2024","2.351,960","2.357,341","2.359,473","2.336,184","-0,11%"
"Dic 2023","2.354,454","2.304,412","2.355,655","2.304,412","2,47%"
"Nov 2023","2.297,622","2.205,621","2.297,622","2.205,621","4,05%"
"Oct 2023","2.208,292","2.231,263","2.241,716","2.206,189","-1,15%"
"Sep 2023","2.233,941","2.269,594","2.274,537","2.233,941","-1,52%"
"Ago 2023","2.268,346","2.260,050","2.270,698","2.252,769","0,57%"
"Jul 2023","2.255,519","2.262,542","2.267,362","2.244,179","-0,28%"
"Jun 2023","2.261,853","2.224,535","2.263,916","2.224,535","1,62%"
"May 2023","2.225,735","2.244,007","2.246,937","2.220,505","-0,75%"
"Abr 2023","2.242,529","2.255,549","2.265,151","2.240,939","-0,25%"
"Mar 2023","2.248,079","2.212,648","2.248,079","2.208,900","1,73%"
"Feb 2023","2.209,931","2.222,346","2.222,346","2.205,136","-0,62%"
"Ene 2023","2.223,649","2.207,919","2.223,649","2.207,919","0,84%"
"Dic 2022","2.205,205","2.193,314","2.205,205","2.190,003","0,60%"
"Nov 2022","2.192,003","2.116,115","2.194,632","2.116,115","3,69%"
"Oct 2022","2.114,017","2.099,424","2.114,017","2.086,060","0,78%"
"Sep 2022","2.097,633","2.116,998","2.144,545","2.097,633","-1,00%"
"Ago 2022","2.118,902","2.140,308","2.146,445","2.109,232","-0,88%"
"Jul 2022","2.137,753","2.101,331","2.139,282","2.101,331","1,79%"
"Jun 2022","2.100,173","2.071,737","2.101,045","2.069,335","1,32%"
"May 2022","2.072,742","2.047,487","2.072,742","2.033,532","1,15%"
"Abr 2022","2.049,199","1.983,128","2.049,199","1.983,128","3,51%"
"Mar 2022","1.979,680","1.960,899","2.002,634","1.960,899","1,00%"
"Feb 2022","1.960,052","1.925,377","1.960,052","1.925,377","2,01%"
"Ene 2022","1.921,451","1.923,910","1.937,506","1.915,407","-0,11%"
"Dic 2021","1.923,633","1.905,994","1.923,633","1.890,197","0,78%"
"Nov 2021","1.908,702","1.863,970","1.908,702","1.863,626","2,60%"
"Oct 2021","1.860,303","1.896,785","1.897,129","1.807,212","-2,05%"
"Sep 2021","1.899,210","1.946,991","1.947,250","1.888,930","-2,28%"
"Ago 2021","1.943,576","1.918,837","1.943,576","1.918,837","1,24%"
"Jul 2021","1.919,800","1.947,295","1.950,937","1.907,503","-1,74%"
"Jun 2021","1.953,886","1.984,376","1.993,155","1.953,297","-1,28%"
"May 2021","1.979,236","1.998,149","2.025,116","1.974,648","-1,55%"
"Abr 2021","2.010,455","2.049,484","2.059,524","2.010,455","-1,87%"
"Mar 2021","2.048,863","2.086,110","2.097,222","2.048,863","-1,71%"
"Feb 2021","2.084,496","2.082,006","2.116,345","2.082,006","0,17%"
"Ene 2021","2.081,045","2.042,542","2.081,045","2.042,433","1,97%"
"Dic 2020","2.040,861","2.033,609","2.041,147","2.029,755","0,39%"
"Nov 2020","2.033,030","2.008,107","2.034,594","2.008,107","1,31%"
"Oct 2020","2.006,827","1.986,342","2.006,827","1.984,085","0,85%"
"Sep 2020","1.989,903","2.016,572","2.017,797","1.989,903","-0,69%"
"Ago 2020","2.003,705","1.963,990","2.003,705","1.963,990","1,96%"
"Jul 2020","1.965,104","1.964,845","1.977,860","1.948,259","-0,11%"
"Jun 2020","1.967,189","1.967,019","1.967,709","1.932,263","0,10%"
"May 2020","1.965,291","1.902,755","1.967,709","1.902,755","3,68%"
"Abr 2020","1.895,456","1.831,743","1.895,456","1.831,743","3,40%"
"Mar 2020","1.833,124","1.871,269","1.913,043","1.830,983","-2,32%"
"Feb 2020","1.876,692","1.919,480","1.923,044","1.876,692","-2,23%"
"Ene 2020","1.919,424","1.897,298","1.920,563","1.897,298","1,27%"
"Dic 2019","1.895,436","1.847,556","1.895,436","1.837,452","2,65%"
"Nov 2019","1.846,485","1.887,863","1.889,206","1.770,701","-2,50%"
"Oct 2019","1.893,734","1.940,143","1.956,316","1.893,734","-2,38%"
"Sep 2019","1.939,857","1.934,277","1.942,907","1.933,660","0,19%"
"Ago 2019","1.936,083","1.906,883","1.936,151","1.906,883","1,58%"
"Jul 2019","1.905,954","1.872,531","1.905,954","1.871,000","1,90%"
"Jun 2019","1.870,491","1.847,594","1.881,125","1.847,594","1,49%"
"May 2019","1.842,996","1.822,685","1.842,996","1.822,230","1,14%"
"Abr 2019","1.822,230","1.809,639","1.825,878","1.809,309","0,67%"
"Mar 2019","1.810,059","1.793,982","1.810,059","1.793,172","0,87%"
"Feb 2019","1.794,468","1.789,654","1.794,899","1.789,654","0,34%"
"Ene 2019","1.788,425","1.778,945","1.788,425","1.778,945","0,56%"
"Dic 2018","1.778,457","1.772,692","1.778,457","1.772,692","0,38%"
"Nov 2018","1.771,690","1.766,334","1.772,478","1.766,334","0,30%"
"Oct 2018","1.766,334","1.774,000","1.777,151","1.764,084","-0,38%"
"Sep 2018","1.773,012","1.772,325","1.776,512","1.772,325","0,04%"
"Ago 2018","1.772,325","1.765,995","1.776,391","1.765,995","0,36%"
"Jul 2018","1.765,995","1.758,716","1.765,995","1.758,716","0,42%"
"Jun 2018","1.758,683","1.750,609","1.759,250","1.750,609","0,46%"
"May 2018","1.750,609","1.739,806","1.750,744","1.737,830","0,54%"
"Abr 2018","1.741,154","1.737,961","1.741,744","1.737,961","0,19%"
"Mar 2018","1.737,853","1.732,174","1.737,853","1.730,197","0,25%"
"Feb 2018","1.733,458","1.720,818","1.733,818","1.717,609","0,74%"
"Ene 2018","1.720,670","1.712,539","1.722,268","1.710,735","0,51%"
"Dic 2017","1.711,887","1.697,391","1.711,887","1.691,025","0,87%"
"Nov 2017","1.697,130","1.697,100","1.709,246","1.697,041","0,05%"
"Oct 2017","1.696,318","1.706,626","1.706,917","1.682,794","-0,77%"
"Sep 2017","1.709,548","1.716,711","1.719,046","1.709,548","-0,39%"
"Ago 2017","1.716,199","1.709,440","1.716,199","1.706,843","0,47%"
"Jul 2017","1.708,104","1.711,691","1.711,702","1.700,574","-0,37%"
