"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","7.412,847","7.704,901","7.836,385","7.231,706","-3,79%"
"Feb 2026","7.705,107","8.103,410","8.236,336","7.664,116","-4,92%"
"Ene 2026","8.103,621","7.429,205","8.230,689","7.377,968","9,08%"
"Dic 2025","7.429,390","7.202,958","7.457,258","7.194,804","3,25%"
"Nov 2025","7.195,545","6.712,579","7.195,910","6.632,998","7,19%"
"Oct 2025","6.712,765","6.379,292","6.712,950","6.173,995","4,87%"
"Sep 2025","6.401,111","6.373,963","6.575,076","6.358,306","0,67%"
"Ago 2025","6.358,306","5.819,558","6.377,708","5.819,225","8,92%"
"Jul 2025","5.837,578","5.869,326","5.952,458","5.756,802","-0,98%"
"Jun 2025","5.895,549","5.753,538","5.943,594","5.736,938","2,40%"
"May 2025","5.757,225","5.806,587","6.075,668","5.757,225","-0,85%"
"Abr 2025","5.806,737","5.596,788","5.825,698","5.210,183","4,25%"
"Mar 2025","5.569,821","5.422,946","5.606,841","5.361,502","3,35%"
"Feb 2025","5.389,424","5.302,462","5.400,109","5.286,435","3,57%"
"Ene 2025","5.203,693","4.950,256","5.203,693","4.928,382","5,23%"
"Dic 2024","4.944,963","4.875,920","5.021,259","4.875,625","1,24%"
"Nov 2024","4.884,414","4.868,408","4.928,453","4.816,003","-1,54%"
"Oct 2024","4.960,583","4.859,348","5.022,075","4.752,260","2,11%"
"Sep 2024","4.858,032","4.809,517","4.858,032","4.625,714","1,16%"
"Ago 2024","4.802,430","4.815,017","4.841,459","4.549,601","-0,51%"
"Jul 2024","4.827,049","4.776,730","4.907,943","4.755,761","-0,36%"
"Jun 2024","4.844,587","4.931,588","4.969,693","4.776,532","-2,37%"
"May 2024","4.962,299","4.932,581","5.046,509","4.866,496","3,09%"
"Abr 2024","4.813,580","5.050,218","5.100,231","4.755,962","-4,00%"
"Mar 2024","5.014,401","4.860,104","5.014,401","4.801,020","3,49%"
"Feb 2024","4.845,524","4.578,508","4.895,179","4.578,508","4,30%"
"Ene 2024","4.645,889","4.760,934","4.769,834","4.475,806","-3,22%"
"Dic 2023","4.800,619","4.471,002","4.800,619","4.471,002","7,72%"
"Nov 2023","4.456,639","4.191,572","4.513,953","4.191,449","5,71%"
"Oct 2023","4.215,812","4.539,418","4.574,731","4.215,812","-7,02%"
"Sep 2023","4.533,979","4.688,146","4.688,146","4.486,214","-3,78%"
"Ago 2023","4.712,304","4.915,551","4.990,950","4.688,845","-3,91%"
"Jul 2023","4.904,227","4.465,909","4.979,671","4.465,909","11,23%"
"Jun 2023","4.409,000","4.349,164","4.504,045","4.253,954","1,33%"
"May 2023","4.351,221","4.394,398","4.501,552","4.351,221","-0,89%"
"Abr 2023","4.390,238","4.342,528","4.467,590","4.239,164","0,76%"
"Mar 2023","4.356,995","4.416,823","4.489,442","4.236,294","-0,89%"
"Feb 2023","4.396,253","4.422,618","4.499,931","4.336,942","-0,87%"
"Ene 2023","4.434,768","4.366,941","4.435,018","4.224,027","1,83%"
"Dic 2022","4.355,176","4.411,103","4.447,221","4.266,341","-0,58%"
"Nov 2022","4.380,620","4.382,722","4.551,571","4.349,280","0,10%"
"Oct 2022","4.376,326","4.326,981","4.425,780","4.168,418","2,68%"
"Sep 2022","4.261,894","4.684,778","4.889,973","4.261,894","-8,75%"
"Ago 2022","4.670,424","4.462,852","4.670,424","4.392,950","4,63%"
"Jul 2022","4.463,623","4.247,417","4.463,623","4.196,382","5,22%"
"Jun 2022","4.242,217","4.638,039","4.638,039","4.185,162","-8,57%"
"May 2022","4.639,997","4.158,865","4.640,263","4.055,238","10,58%"
"Abr 2022","4.196,134","4.381,739","4.463,623","4.126,804","-4,63%"
"Mar 2022","4.399,811","4.018,310","4.507,674","3.996,439","11,19%"
"Feb 2022","3.956,978","4.103,433","4.199,285","3.935,360","-3,95%"
"Ene 2022","4.119,576","3.888,337","4.191,151","3.872,469","7,39%"
"Dic 2021","3.836,243","4.115,811","4.115,811","3.711,556","-8,46%"
"Nov 2021","4.190,822","3.772,987","4.377,208","3.772,359","10,96%"
"Oct 2021","3.776,806","4.122,401","4.147,735","3.715,038","-8,20%"
"Sep 2021","4.114,203","4.319,325","4.319,325","4.101,522","-3,78%"
"Ago 2021","4.275,674","4.097,978","4.276,151","4.049,790","6,30%"
"Jul 2021","4.022,354","4.186,642","4.206,782","3.999,842","-4,48%"
"Jun 2021","4.210,811","4.142,187","4.279,843","4.009,123","4,10%"
"May 2021","4.045,022","4.365,881","4.585,513","3.939,151","-9,76%"
"Abr 2021","4.482,612","4.792,245","4.913,431","4.482,612","-6,94%"
"Mar 2021","4.816,825","4.465,028","4.817,727","4.464,530","7,57%"
"Feb 2021","4.477,934","4.206,368","4.560,202","4.205,899","3,35%"
"Ene 2021","4.332,904","4.105,403","4.599,376","4.105,174","5,00%"
"Dic 2020","4.126,602","4.064,772","4.139,206","3.980,678","1,46%"
"Nov 2020","4.067,342","3.515,858","4.145,278","3.494,459","14,30%"
"Oct 2020","3.558,534","3.536,115","3.787,851","3.536,115","-0,51%"
"Sep 2020","3.576,715","3.859,302","3.859,302","3.501,915","-9,29%"
"Ago 2020","3.942,981","3.939,936","4.031,148","3.914,999","-0,61%"
"Jul 2020","3.967,198","3.967,978","4.252,462","3.869,709","-1,14%"
"Jun 2020","4.013,131","3.646,846","4.115,833","3.646,440","9,68%"
"May 2020","3.659,083","4.026,357","4.032,963","3.651,031","-5,43%"
"Abr 2020","3.869,226","3.392,801","3.990,349","3.392,801","17,12%"
"Mar 2020","3.303,639","4.206,382","4.458,108","2.968,069","-23,92%"
"Feb 2020","4.342,277","4.644,858","4.796,030","4.342,277","-6,97%"
"Ene 2020","4.667,378","4.760,003","5.089,879","4.655,776","-0,97%"
"Dic 2019","4.712,931","4.608,117","4.942,827","4.561,821","2,59%"
"Nov 2019","4.593,932","4.822,380","4.938,598","4.489,516","-7,42%"
"Oct 2019","4.962,041","5.179,361","5.274,250","4.962,041","-2,48%"
"Sep 2019","5.088,090","4.868,178","5.131,429","4.775,662","6,98%"
"Ago 2019","4.756,297","5.092,739","5.133,167","4.677,337","-6,07%"
"Jun 2019","5.063,403","4.916,746","5.099,182","4.916,746","4,51%"
"May 2019","4.844,922","5.310,613","5.310,613","4.844,922","-8,60%"
"Abr 2019","5.300,867","5.410,032","5.448,970","5.299,277","-1,21%"
"Mar 2019","5.365,899","5.617,058","5.617,058","5.339,184","-5,90%"
"Feb 2019","5.702,216","5.646,282","5.733,943","5.596,327","0,72%"
"Ene 2019","5.661,663","5.366,268","5.720,309","5.365,091","6,14%"
"Dic 2018","5.334,114","5.418,247","5.438,695","5.291,309","-0,90%"
"Nov 2018","5.382,469","5.316,139","5.546,292","5.316,139","1,25%"
"Oct 2018","5.316,139","5.612,488","5.675,290","5.316,139","-5,85%"
"Sep 2018","5.646,538","5.548,454","5.760,726","5.430,394","1,77%"
"Ago 2018","5.548,454","5.660,896","5.716,475","5.522,223","-1,99%"
"Jul 2018","5.660,896","5.599,271","5.750,450","5.557,492","1,51%"
"Jun 2018","5.576,415","5.811,399","5.860,125","5.576,415","-4,04%"
"May 2018","5.811,399","6.083,846","6.113,744","5.811,399","-4,58%"
"Abr 2018","6.090,228","5.914,293","6.100,591","5.913,309","3,98%"
"Mar 2018","5.856,958","6.086,014","6.086,014","5.831,603","-4,30%"
"Feb 2018","6.120,148","6.296,106","6.327,217","5.942,547","-3,35%"
"Ene 2018","6.331,989","5.979,538","6.331,989","5.978,571","6,34%"
"Dic 2017","5.954,299","5.398,947","6.030,151","5.270,769","9,40%"
"Nov 2017","5.442,817","6.063,934","6.063,934","5.442,433","-10,17%"
"Oct 2017","6.059,141","5.806,985","6.059,141","5.806,357","4,94%"
"Sep 2017","5.773,809","5.610,897","5.773,809","5.545,014","2,77%"
"Ago 2017","5.618,095","5.520,388","5.630,054","5.472,151","1,56%"
"Jul 2017","5.531,671","5.175,515","5.532,280","5.175,515","5,93%"
