"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","3.544,029","3.687,236","3.741,377","3.444,068","-3,89%"
"Feb 2026","3.687,287","3.867,209","3.939,304","3.655,099","-4,65%"
"Ene 2026","3.867,254","3.499,196","3.919,703","3.474,896","10,52%"
"Dic 2025","3.499,241","3.359,243","3.510,114","3.359,243","4,12%"
"Nov 2025","3.360,685","3.148,333","3.360,775","3.116,954","6,74%"
"Oct 2025","3.148,380","2.999,172","3.148,428","2.905,971","4,84%"
"Sep 2025","3.003,143","2.974,234","3.071,269","2.974,234","1,46%"
"Ago 2025","2.960,062","2.721,360","2.969,617","2.721,284","8,65%"
"Jul 2025","2.724,422","2.764,667","2.788,797","2.675,438","-1,88%"
"Jun 2025","2.776,555","2.706,398","2.790,733","2.697,089","2,21%"
"May 2025","2.716,392","2.706,906","2.833,621","2.694,273","0,35%"
"Abr 2025","2.706,940","2.575,118","2.706,940","2.409,464","5,70%"
"Mar 2025","2.560,890","2.475,490","2.580,109","2.445,102","4,10%"
"Feb 2025","2.460,061","2.392,516","2.460,681","2.392,516","4,70%"
"Ene 2025","2.349,707","2.247,525","2.349,707","2.236,465","4,77%"
"Dic 2024","2.242,694","2.204,702","2.274,343","2.204,613","1,48%"
"Nov 2024","2.210,035","2.205,365","2.231,660","2.183,076","-1,49%"
"Oct 2024","2.243,352","2.181,440","2.265,904","2.128,579","3,04%"
"Sep 2024","2.177,198","2.162,460","2.177,198","2.079,043","0,80%"
"Ago 2024","2.159,943","2.170,094","2.178,980","2.053,876","-0,66%"
"Jul 2024","2.174,330","2.149,418","2.213,601","2.133,097","-0,13%"
"Jun 2024","2.177,258","2.205,765","2.227,045","2.145,295","-1,86%"
"May 2024","2.218,440","2.187,401","2.260,614","2.162,883","3,92%"
"Abr 2024","2.134,811","2.230,332","2.263,996","2.110,332","-3,80%"
"Mar 2024","2.219,067","2.160,172","2.219,067","2.134,395","2,94%"
"Feb 2024","2.155,766","2.047,314","2.174,618","2.047,314","4,06%"
"Ene 2024","2.071,628","2.124,776","2.124,776","2.001,641","-3,30%"
"Dic 2023","2.142,344","1.996,125","2.142,344","1.994,760","7,72%"
"Nov 2023","1.988,811","1.874,642","2.008,339","1.874,586","5,58%"
"Oct 2023","1.883,663","2.001,405","2.023,464","1.883,663","-6,05%"
"Sep 2023","2.004,945","2.082,074","2.094,559","1.980,643","-4,13%"
"Ago 2023","2.091,342","2.158,826","2.185,078","2.079,792","-2,97%"
"Jul 2023","2.155,426","1.978,352","2.192,965","1.978,352","10,13%"
"Jun 2023","1.957,153","1.897,026","1.989,642","1.856,636","3,41%"
"May 2023","1.892,652","1.907,829","1.958,641","1.892,652","-0,71%"
"Abr 2023","1.906,142","1.894,381","1.939,795","1.846,551","0,51%"
"Mar 2023","1.896,510","1.888,099","1.932,972","1.842,230","0,91%"
"Feb 2023","1.879,318","1.900,481","1.934,584","1.853,923","-1,50%"
