"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","3.696,276","3.846,394","3.903,000","3.592,650","-3,91%"
"Feb 2026","3.846,489","4.035,373","4.110,513","3.813,162","-4,68%"
"Ene 2026","4.035,464","3.652,598","4.090,329","3.627,113","10,48%"
"Dic 2025","3.652,685","3.507,700","3.664,115","3.507,700","4,09%"
"Nov 2025","3.509,245","3.288,550","3.509,415","3.255,667","6,71%"
"Oct 2025","3.288,636","3.133,811","3.288,722","3.036,061","4,80%"
"Sep 2025","3.137,995","3.108,775","3.210,059","3.108,775","1,42%"
"Ago 2025","3.093,996","2.845,429","3.104,086","2.845,287","8,61%"
"Jul 2025","2.848,662","2.891,693","2.916,708","2.797,536","-1,91%"
"Jun 2025","2.904,159","2.831,646","2.919,596","2.821,257","2,18%"
"May 2025","2.842,165","2.833,172","2.965,374","2.819,825","0,32%"
"Abr 2025","2.833,238","2.696,122","2.833,238","2.522,490","5,67%"
"Mar 2025","2.681,255","2.592,750","2.701,466","2.560,782","4,06%"
"Feb 2025","2.576,619","2.506,615","2.577,607","2.506,615","4,66%"
"Ene 2025","2.461,791","2.355,510","2.461,791","2.343,841","4,74%"
"Dic 2024","2.350,472","2.311,412","2.383,980","2.311,268","1,44%"
"Nov 2024","2.317,028","2.312,865","2.340,314","2.289,114","-1,52%"
"Oct 2024","2.352,729","2.288,600","2.376,485","2.232,995","3,00%"
"Sep 2024","2.284,174","2.269,381","2.284,174","2.181,577","0,77%"
"Ago 2024","2.266,765","2.278,165","2.286,969","2.156,017","-0,70%"
"Jul 2024","2.282,636","2.257,914","2.324,042","2.240,524","-0,20%"
"Jun 2024","2.287,222","2.318,942","2.340,867","2.253,768","-1,93%"
"May 2024","2.332,332","2.301,584","2.377,060","2.275,351","3,83%"
"Abr 2024","2.246,310","2.348,713","2.383,349","2.220,735","-3,88%"
"Mar 2024","2.336,882","2.275,730","2.336,882","2.248,390","2,90%"
"Feb 2024","2.271,119","2.157,690","2.291,231","2.157,690","4,02%"
"Ene 2024","2.183,344","2.240,307","2.240,307","2.109,814","-3,34%"
"Dic 2023","2.258,862","2.105,526","2.258,862","2.104,058","7,68%"
"Nov 2023","2.097,841","1.978,171","2.118,671","1.978,085","5,54%"
"Oct 2023","1.987,717","2.112,861","2.135,622","1.987,717","-6,09%"
"Sep 2023","2.116,627","2.198,835","2.211,626","2.091,000","-4,17%"
"Ago 2023","2.208,635","2.280,304","2.307,982","2.196,449","-2,99%"
"Jul 2023","2.276,725","2.090,006","2.316,401","2.090,006","10,11%"
"Jun 2023","2.067,623","2.004,420","2.102,014","1.961,733","3,39%"
"May 2023","1.999,810","2.016,189","2.069,772","1.999,810","-0,73%"
"Abr 2023","2.014,416","2.002,295","2.050,081","1.951,483","0,49%"
"Mar 2023","2.004,556","1.995,993","2.043,319","1.947,290","0,90%"
