"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","3.074,929","3.064,969","3.093,699","3.060,403","0,34%"
"Feb 2026","3.064,365","3.046,628","3.064,365","3.045,921","0,58%"
"Ene 2026","3.046,604","3.034,250","3.046,604","3.032,422","0,42%"
"Dic 2025","3.033,768","3.013,665","3.033,768","3.010,406","0,63%"
"Nov 2025","3.014,638","2.994,541","3.015,445","2.993,413","0,69%"
"Oct 2025","2.993,977","2.986,309","2.994,984","2.985,090","0,26%"
"Sep 2025","2.986,350","2.962,062","2.986,350","2.956,623","0,94%"
"Ago 2025","2.958,631","2.934,637","2.961,216","2.927,984","1,05%"
"Jul 2025","2.927,984","2.898,758","2.927,984","2.893,226","1,03%"
"Jun 2025","2.898,125","2.883,562","2.898,125","2.882,405","0,55%"
"May 2025","2.882,405","2.891,088","2.892,553","2.875,068","-0,28%"
"Abr 2025","2.890,427","2.859,325","2.901,821","2.852,809","1,32%"
"Mar 2025","2.852,809","2.818,688","2.852,809","2.818,688","1,20%"
"Feb 2025","2.818,941","2.799,525","2.822,959","2.793,345","0,67%"
"Ene 2025","2.800,056","2.773,897","2.808,942","2.755,188","1,11%"
"Dic 2024","2.769,188","2.810,335","2.824,500","2.768,402","-1,30%"
"Nov 2024","2.805,721","2.753,562","2.806,042","2.753,562","1,92%"
"Oct 2024","2.752,913","2.826,766","2.838,919","2.752,913","-2,22%"
"Sep 2024","2.815,556","2.729,179","2.815,556","2.728,538","3,31%"
"Ago 2024","2.725,309","2.632,756","2.726,028","2.632,756","3,65%"
"Jul 2024","2.629,423","2.566,191","2.629,423","2.562,854","2,61%"
"Jun 2024","2.562,514","2.566,633","2.594,280","2.562,514","-0,25%"
"May 2024","2.569,018","2.541,068","2.584,391","2.541,068","1,29%"
"Abr 2024","2.536,289","2.561,516","2.565,997","2.510,400","-0,92%"
"Mar 2024","2.559,917","2.525,030","2.576,164","2.525,030","1,15%"
"Feb 2024","2.530,726","2.521,113","2.559,577","2.521,113","0,48%"
"Ene 2024","2.518,583","2.545,081","2.547,278","2.504,587","-0,83%"
"Dic 2023","2.539,682","2.484,896","2.546,654","2.484,896","2,61%"
"Nov 2023","2.475,124","2.331,741","2.475,124","2.331,741","5,92%"
"Oct 2023","2.336,766","2.394,462","2.397,608","2.335,595","-2,57%"
"Sep 2023","2.398,500","2.463,018","2.469,176","2.398,500","-2,48%"
"Ago 2023","2.459,380","2.465,164","2.480,115","2.440,042","-0,20%"
"Jul 2023","2.464,357","2.487,390","2.491,356","2.449,600","-1,04%"
"Jun 2023","2.490,137","2.451,944","2.494,284","2.451,944","1,52%"
"May 2023","2.452,878","2.488,271","2.491,399","2.447,603","-1,35%"
"Abr 2023","2.486,551","2.502,330","2.518,462","2.480,283","-0,21%"
"Mar 2023","2.491,791","2.440,357","2.491,791","2.431,109","2,21%"
"Feb 2023","2.438,017","2.475,214","2.475,214","2.427,791","-1,68%"
"Ene 2023","2.479,618","2.480,694","2.496,790","2.469,027","0,21%"
"Dic 2022","2.474,421","2.447,776","2.477,318","2.444,147","1,22%"
"Nov 2022","2.444,498","2.279,366","2.462,961","2.277,823","7,20%"
"Oct 2022","2.280,256","2.237,022","2.280,256","2.224,595","2,11%"
"Sep 2022","2.233,098","2.279,430","2.339,961","2.233,098","-1,95%"
"Ago 2022","2.277,483","2.305,828","2.326,217","2.252,427","-1,11%"
"Jul 2022","2.303,054","2.258,389","2.303,054","2.258,389","2,00%"
"Jun 2022","2.257,936","2.233,794","2.267,748","2.202,918","1,08%"
"May 2022","2.233,744","2.192,191","2.233,744","2.162,030","1,78%"
"Abr 2022","2.194,739","2.133,786","2.194,739","2.133,786","3,40%"
"Mar 2022","2.122,625","2.118,177","2.180,085","2.117,590","0,43%"
"Feb 2022","2.113,594","2.070,069","2.113,594","2.070,069","2,46%"
"Ene 2022","2.062,902","2.090,976","2.093,401","2.062,565","-1,41%"
"Dic 2021","2.092,407","2.059,277","2.093,063","2.034,448","1,47%"
"Nov 2021","2.062,148","1.987,538","2.066,030","1.987,538","4,05%"
"Oct 2021","1.981,891","2.046,861","2.047,032","1.893,814","-3,40%"
"Sep 2021","2.051,650","2.118,273","2.118,834","2.041,162","-2,90%"
"Ago 2021","2.112,948","2.091,004","2.115,460","2.091,004","1,09%"
"Jul 2021","2.090,137","2.116,393","2.141,384","2.057,409","-1,58%"
"Jun 2021","2.123,708","2.183,092","2.198,308","2.123,061","-2,27%"
"May 2021","2.172,989","2.202,500","2.243,278","2.166,030","-1,87%"
"Abr 2021","2.214,397","2.253,946","2.277,845","2.214,397","-1,83%"
"Mar 2021","2.255,606","2.312,868","2.332,017","2.255,606","-2,39%"
"Feb 2021","2.310,932","2.343,383","2.385,003","2.310,932","-1,55%"
"Ene 2021","2.347,376","2.299,880","2.347,376","2.299,816","2,29%"
"Dic 2020","2.294,774","2.285,905","2.297,031","2.268,156","0,40%"
"Nov 2020","2.285,631","2.252,246","2.291,559","2.252,246","1,38%"
"Oct 2020","2.254,495","2.234,450","2.260,948","2.233,888","0,68%"
"Sep 2020","2.239,175","2.301,030","2.301,063","2.239,175","-2,09%"
"Ago 2020","2.286,886","2.239,860","2.286,886","2.239,860","1,83%"
"Jul 2020","2.245,801","2.248,194","2.272,629","2.218,769","-0,38%"
"Jun 2020","2.254,365","2.242,992","2.254,365","2.193,330","0,63%"
"May 2020","2.240,336","2.146,550","2.249,339","2.146,550","5,08%"
"Abr 2020","2.132,042","2.033,942","2.132,042","2.033,942","4,86%"
"Mar 2020","2.033,191","2.089,061","2.156,338","2.007,292","-2,98%"
"Feb 2020","2.095,626","2.158,705","2.165,686","2.095,626","-2,97%"
"Ene 2020","2.159,709","2.143,144","2.171,892","2.143,144","0,91%"
"Dic 2019","2.140,256","2.068,929","2.140,256","2.052,008","3,39%"
"Nov 2019","2.070,015","2.107,729","2.117,502","1.973,229","-2,21%"
"Oct 2019","2.116,869","2.176,943","2.195,779","2.116,869","-2,82%"
"Sep 2019","2.178,340","2.174,764","2.187,549","2.171,069","0,09%"
"Ago 2019","2.176,474","2.140,441","2.176,800","2.140,441","1,72%"
"Jul 2019","2.139,626","2.085,999","2.139,626","2.084,180","2,76%"
"Jun 2019","2.082,181","2.035,407","2.093,264","2.035,145","2,77%"
"May 2019","2.025,974","2.003,745","2.025,974","2.002,721","1,16%"
"Abr 2019","2.002,721","1.990,565","2.008,828","1.990,565","0,60%"
"Mar 2019","1.990,691","1.962,529","1.990,691","1.959,574","1,30%"
"Feb 2019","1.965,159","1.953,026","1.965,900","1.953,026","0,71%"
"Ene 2019","1.951,336","1.936,527","1.951,336","1.936,527","0,80%"
"Dic 2018","1.935,808","1.924,152","1.935,808","1.924,152","0,72%"
"Nov 2018","1.921,956","1.910,592","1.921,956","1.910,592","0,59%"
"Oct 2018","1.910,592","1.921,668","1.925,135","1.906,826","-0,50%"
"Sep 2018","1.920,133","1.920,244","1.927,425","1.919,534","-0,01%"
"Ago 2018","1.920,244","1.906,360","1.924,567","1.906,360","0,73%"
"Jul 2018","1.906,360","1.894,141","1.906,606","1.894,141","0,66%"
"Jun 2018","1.893,772","1.886,186","1.894,900","1.886,165","0,40%"
"May 2018","1.886,186","1.876,694","1.888,334","1.872,302","0,35%"
"Abr 2018","1.879,567","1.870,157","1.881,473","1.869,970","0,57%"
"Mar 2018","1.868,994","1.857,576","1.868,994","1.857,576","0,47%"
"Feb 2018","1.860,339","1.855,904","1.860,910","1.845,075","0,08%"
"Ene 2018","1.858,838","1.847,251","1.861,200","1.846,763","0,67%"
"Dic 2017","1.846,408","1.833,068","1.846,408","1.820,113","0,71%"
"Nov 2017","1.833,438","1.840,781","1.847,100","1.832,039","-0,31%"
"Oct 2017","1.839,156","1.851,589","1.851,855","1.816,941","-0,87%"
"Sep 2017","1.855,310","1.854,751","1.859,042","1.849,614","0,11%"
"Ago 2017","1.853,360","1.858,378","1.860,717","1.851,639","-0,18%"
"Jul 2017","1.856,674","1.861,794","1.862,140","1.847,052","-0,45%"
