"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","2.295,432","2.289,125","2.310,077","2.285,903","0,29%"
"Feb 2026","2.288,737","2.277,174","2.288,737","2.276,146","0,51%"
"Ene 2026","2.277,217","2.269,849","2.277,260","2.267,736","0,34%"
"Dic 2025","2.269,550","2.256,365","2.269,550","2.253,740","0,55%"
"Nov 2025","2.257,155","2.243,890","2.258,192","2.243,168","0,61%"
"Oct 2025","2.243,529","2.239,623","2.244,406","2.238,586","0,17%"
"Sep 2025","2.239,715","2.223,265","2.239,715","2.219,365","0,85%"
"Ago 2025","2.220,751","2.204,552","2.223,788","2.199,615","0,96%"
"Jul 2025","2.199,615","2.179,449","2.199,615","2.174,702","0,94%"
"Jun 2025","2.179,033","2.169,748","2.179,033","2.169,055","0,46%"
"May 2025","2.169,055","2.177,319","2.178,184","2.163,653","-0,36%"
"Abr 2025","2.176,881","2.155,169","2.186,779","2.150,316","1,24%"
"Mar 2025","2.150,316","2.126,460","2.150,343","2.126,460","1,11%"
"Feb 2025","2.126,710","2.113,625","2.130,617","2.108,728","0,60%"
"Ene 2025","2.114,084","2.096,055","2.120,909","2.081,062","1,03%"
"Dic 2024","2.092,554","2.125,388","2.135,458","2.092,074","-1,39%"
"Nov 2024","2.121,957","2.084,159","2.122,257","2.084,159","1,83%"
"Oct 2024","2.083,726","2.141,498","2.150,469","2.083,726","-2,31%"
"Sep 2024","2.133,063","2.069,150","2.133,063","2.068,495","3,23%"
"Ago 2024","2.066,273","1.997,738","2.066,988","1.997,738","3,56%"
"Jul 2024","1.995,264","1.948,932","1.995,264","1.946,078","2,52%"
"Jun 2024","1.946,192","1.950,812","1.971,125","1.946,192","-0,33%"
"May 2024","1.952,678","1.933,018","1.964,793","1.933,018","1,20%"
"Abr 2024","1.929,435","1.950,213","1.953,155","1.910,262","-1,01%"
"Mar 2024","1.949,028","1.923,349","1.961,912","1.923,349","1,11%"
"Feb 2024","1.927,719","1.921,279","1.950,175","1.921,279","0,43%"
"Ene 2024","1.919,382","1.940,562","1.942,141","1.908,966","-0,88%"
"Dic 2023","1.936,477","1.895,607","1.942,048","1.895,607","2,56%"
"Nov 2023","1.888,183","1.779,621","1.888,183","1.779,621","5,87%"
"Oct 2023","1.783,485","1.828,452","1.830,343","1.782,738","-2,63%"
"Sep 2023","1.831,566","1.881,730","1.886,249","1.831,566","-2,52%"
"Ago 2023","1.878,982","1.884,391","1.895,726","1.864,422","-0,26%"
"Jul 2023","1.883,806","1.902,288","1.905,196","1.872,987","-1,08%"
"Jun 2023","1.904,420","1.876,105","1.907,780","1.876,105","1,47%"
"May 2023","1.876,850","1.904,902","1.907,203","1.872,906","-1,41%"
"Abr 2023","1.903,617","1.916,579","1.928,617","1.898,912","-0,26%"
"Mar 2023","1.908,538","1.870,065","1.908,538","1.862,744","2,15%"
"Feb 2023","1.868,302","1.897,650","1.897,650","1.860,742","-1,72%"
"Ene 2023","1.901,057","1.902,820","1.914,758","1.893,217","0,16%"
"Dic 2022","1.898,040","1.878,527","1.901,012","1.875,712","1,17%"
"Nov 2022","1.876,042","1.750,175","1.890,585","1.748,846","7,15%"
"Oct 2022","1.750,915","1.718,480","1.750,915","1.708,765","2,06%"
"Sep 2022","1.715,494","1.751,951","1.798,297","1.715,494","-2,00%"
"Ago 2022","1.750,483","1.773,172","1.788,499","1.731,424","-1,16%"
"Jul 2022","1.771,069","1.737,549","1.771,069","1.737,549","1,95%"
"Jun 2022","1.737,229","1.719,474","1.744,807","1.695,289","1,03%"
"May 2022","1.719,464","1.688,310","1.719,464","1.664,780","1,73%"
"Abr 2022","1.690,299","1.644,140","1.690,299","1.644,140","3,35%"
"Mar 2022","1.635,567","1.632,998","1.680,367","1.631,714","0,37%"
"Feb 2022","1.629,492","1.596,645","1.629,492","1.596,645","2,41%"
"Ene 2022","1.591,143","1.613,539","1.614,720","1.591,092","-1,46%"
"Dic 2021","1.614,670","1.589,888","1.615,203","1.570,177","1,42%"
"Nov 2021","1.592,131","1.535,284","1.595,233","1.535,284","4,00%"
"Oct 2021","1.530,946","1.581,888","1.581,994","1.463,271","-3,45%"
"Sep 2021","1.585,615","1.637,885","1.638,292","1.577,976","-2,95%"
"Ago 2021","1.633,795","1.617,651","1.636,059","1.617,651","1,04%"
"Jul 2021","1.617,006","1.638,100","1.656,871","1.592,263","-1,63%"
"Jun 2021","1.643,789","1.690,614","1.702,258","1.643,369","-2,32%"
"May 2021","1.682,818","1.706,430","1.737,709","1.677,484","-1,92%"
"Abr 2021","1.715,703","1.747,149","1.765,443","1.715,703","-1,87%"
"Mar 2021","1.748,465","1.793,796","1.808,528","1.748,465","-2,45%"
"Feb 2021","1.792,324","1.818,299","1.850,077","1.792,324","-1,60%"
"Ene 2021","1.821,428","1.785,337","1.821,428","1.785,258","2,24%"
"Dic 2020","1.781,490","1.775,539","1.783,448","1.761,404","0,35%"
"Nov 2020","1.775,354","1.750,200","1.780,018","1.750,200","1,33%"
"Oct 2020","1.751,976","1.737,256","1.757,453","1.736,790","0,63%"
"Sep 2020","1.740,958","1.789,962","1.789,962","1.740,958","-2,14%"
"Ago 2020","1.779,077","1.743,209","1.779,077","1.743,209","1,79%"
"Jul 2020","1.747,862","1.750,645","1.769,352","1.727,078","-0,44%"
"Jun 2020","1.755,507","1.747,427","1.755,507","1.708,456","0,58%"
"May 2020","1.745,386","1.673,062","1.752,486","1.673,062","5,03%"
"Abr 2020","1.661,864","1.586,127","1.661,864","1.586,127","4,81%"
"Mar 2020","1.585,568","1.629,941","1.682,156","1.565,500","-3,03%"
"Feb 2020","1.635,090","1.685,083","1.690,254","1.635,090","-3,01%"
"Ene 2020","1.685,894","1.673,789","1.695,656","1.673,782","0,86%"
"Dic 2019","1.671,561","1.616,651","1.671,561","1.603,323","3,34%"
"Nov 2019","1.617,526","1.647,781","1.655,095","1.542,252","-2,26%"
"Oct 2019","1.654,954","1.702,815","1.717,210","1.654,954","-2,87%"
"Sep 2019","1.703,936","1.701,894","1.711,758","1.698,528","0,04%"
"Ago 2019","1.703,260","1.675,888","1.703,543","1.675,888","1,67%"
"Jul 2019","1.675,277","1.634,121","1.675,277","1.632,616","2,70%"
"Jun 2019","1.631,157","1.595,275","1.639,947","1.595,043","2,72%"
"May 2019","1.587,908","1.571,311","1.587,908","1.570,431","1,11%"
"Abr 2019","1.570,431","1.561,694","1.575,427","1.561,593","0,55%"
"Mar 2019","1.561,819","1.540,459","1.561,819","1.538,013","1,25%"
"Feb 2019","1.542,548","1.533,705","1.543,155","1.533,705","0,66%"
"Ene 2019","1.532,403","1.521,574","1.532,403","1.521,574","0,75%"
"Dic 2018","1.521,034","1.512,571","1.521,034","1.512,571","0,67%"
"Nov 2018","1.510,869","1.502,652","1.511,076","1.502,652","0,55%"
"Oct 2018","1.502,652","1.512,159","1.514,762","1.499,986","-0,55%"
"Sep 2018","1.510,976","1.511,759","1.516,889","1.510,926","-0,05%"
"Ago 2018","1.511,759","1.501,593","1.515,237","1.501,593","0,68%"
"Jul 2018","1.501,593","1.492,730","1.501,936","1.492,730","0,61%"
"Jun 2018","1.492,463","1.487,193","1.493,622","1.487,153","0,35%"
"May 2018","1.487,193","1.468,733","1.489,086","1.468,733","0,37%"
"Abr 2018","1.481,679","1.476,059","1.484,478","997,388","0,44%"
"Mar 2018","1.475,165","1.467,099","1.475,165","1.467,099","0,57%"
"Feb 2018","1.466,853","1.466,207","1.469,533","1.457,507","-0,12%"
"Ene 2018","1.468,548","1.460,139","1.470,439","1.459,465","0,62%"
"Dic 2017","1.459,496","1.449,619","1.459,496","1.439,042","0,66%"
"Nov 2017","1.449,935","1.456,436","1.461,123","1.448,948","-0,36%"
"Oct 2017","1.455,175","1.465,758","1.465,921","1.437,881","-0,92%"
"Sep 2017","1.468,729","1.468,962","1.472,094","1.464,412","0,06%"
"Ago 2017","1.467,884","1.472,585","1.474,390","1.466,569","-0,23%"
"Jul 2017","1.471,258","1.476,068","1.476,269","1.463,875","-0,50%"
