"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","4.279,041","4.326,247","4.344,054","4.271,735","-1,09%"
"Feb 2026","4.326,244","4.290,714","4.326,244","4.237,793","0,83%"
"Ene 2026","4.290,762","4.297,349","4.323,525","4.267,285","-0,15%"
"Dic 2025","4.297,345","4.284,788","4.304,604","4.232,871","0,17%"
"Nov 2025","4.290,227","4.318,292","4.318,317","4.190,621","-0,65%"
"Oct 2025","4.318,268","4.276,352","4.321,934","4.216,661","1,13%"
"Sep 2025","4.270,080","4.192,305","4.270,080","4.188,529","2,14%"
"Ago 2025","4.180,425","4.049,780","4.201,040","4.049,689","1,67%"
"Jul 2025","4.111,622","3.932,172","4.121,162","3.932,172","4,00%"
"Jun 2025","3.953,497","3.848,092","3.953,497","3.848,092","2,73%"
"May 2025","3.848,344","3.737,623","3.866,852","3.731,318","2,96%"
"Abr 2025","3.737,577","3.687,925","3.737,577","3.501,861","1,41%"
"Mar 2025","3.685,560","3.758,618","3.758,618","3.618,109","-1,79%"
"Feb 2025","3.752,906","3.853,962","3.853,962","3.730,732","-2,25%"
"Ene 2025","3.839,370","3.750,561","3.853,540","3.746,792","2,16%"
"Dic 2024","3.758,138","3.778,306","3.828,032","3.743,236","-0,30%"
"Nov 2024","3.769,436","3.705,955","3.803,696","3.664,200","2,13%"
"Oct 2024","3.690,641","3.584,836","3.721,925","3.572,100","2,96%"
"Sep 2024","3.584,627","3.552,001","3.604,277","3.543,389","0,68%"
"Ago 2024","3.560,571","3.558,663","3.573,126","3.415,668","-0,06%"
"Jul 2024","3.562,737","3.524,476","3.582,863","3.507,753","0,66%"
"Jun 2024","3.539,297","3.417,011","3.539,297","3.382,000","4,01%"
"May 2024","3.402,774","3.411,764","3.440,273","3.384,746","0,26%"
"Abr 2024","3.394,089","3.561,960","3.562,065","3.357,406","-4,39%"
"Mar 2024","3.549,908","3.459,005","3.549,908","3.417,046","2,28%"
"Feb 2024","3.470,740","3.253,202","3.473,548","3.246,832","7,21%"
"Ene 2024","3.237,192","3.110,591","3.237,192","3.082,895","3,43%"
"Dic 2023","3.129,818","2.939,871","3.133,611","2.935,591","6,53%"
"Nov 2023","2.938,043","2.789,099","2.970,352","2.789,099","4,70%"
"Oct 2023","2.806,119","2.874,570","3.001,039","2.806,119","-3,04%"
"Sep 2023","2.894,207","2.872,333","2.953,147","2.859,287","0,94%"
"Ago 2023","2.867,297","2.868,045","2.912,368","2.796,060","0,34%"
"Jul 2023","2.857,721","2.695,286","2.866,609","2.695,286","6,35%"
"Jun 2023","2.687,023","2.618,360","2.708,465","2.616,773","2,95%"
"May 2023","2.610,112","2.618,338","2.628,841","2.572,628","0,52%"
"Abr 2023","2.596,676","2.535,708","2.633,612","2.535,708","2,83%"
"Mar 2023","2.525,232","2.594,469","2.594,469","2.450,716","-1,34%"
"Feb 2023","2.559,560","2.588,502","2.588,502","2.522,287","-0,84%"
"Ene 2023","2.581,274","2.572,863","2.585,093","2.556,330","0,16%"
"Dic 2022","2.577,104","2.711,888","2.724,406","2.561,620","-5,99%"
"Nov 2022","2.741,423","2.647,662","2.786,442","2.612,956","3,01%"
"Oct 2022","2.661,345","2.601,727","2.694,980","2.522,745","1,63%"
"Sep 2022","2.618,656","2.659,700","2.720,804","2.601,014","-2,93%"
"Ago 2022","2.697,608","2.727,755","2.861,609","2.697,608","-0,87%"
"Jul 2022","2.721,261","2.655,455","2.854,899","2.655,455","2,82%"
"Jun 2022","2.646,720","2.625,932","2.646,720","2.508,255","2,32%"
"May 2022","2.586,682","2.653,216","2.674,292","2.516,664","-2,75%"
"Abr 2022","2.659,808","2.661,232","2.689,863","2.628,020","1,14%"
"Mar 2022","2.629,896","2.613,948","2.640,619","2.536,423","2,43%"
"Feb 2022","2.567,600","2.640,398","2.754,854","2.560,284","-2,33%"
