"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","2.792,415","2.817,320","2.819,979","2.789,412","-0,88%"
"Feb 2026","2.817,167","2.797,474","2.817,167","2.781,427","0,70%"
"Ene 2026","2.797,486","2.787,703","2.798,425","2.778,488","0,36%"
"Dic 2025","2.787,578","2.776,787","2.789,335","2.764,337","0,32%"
"Nov 2025","2.778,687","2.778,884","2.779,040","2.744,556","-0,00%"
"Oct 2025","2.778,729","2.762,383","2.782,197","2.742,338","0,66%"
"Sep 2025","2.760,418","2.728,887","2.760,418","2.726,830","1,31%"
"Ago 2025","2.724,638","2.678,817","2.731,128","2.678,786","1,23%"
"Jul 2025","2.691,623","2.630,619","2.694,894","2.630,619","2,07%"
"Jun 2025","2.636,913","2.595,369","2.636,913","2.593,732","1,67%"
"May 2025","2.593,604","2.566,678","2.595,661","2.557,487","1,06%"
"Abr 2025","2.566,490","2.539,596","2.566,490","2.492,674","1,08%"
"Mar 2025","2.539,017","2.547,886","2.548,635","2.507,138","-0,21%"
"Feb 2025","2.544,487","2.564,065","2.564,065","2.537,346","-0,54%"
"Ene 2025","2.558,206","2.518,694","2.561,097","2.515,362","1,58%"
"Dic 2024","2.518,387","2.538,254","2.552,505","2.517,384","-0,60%"
"Nov 2024","2.533,475","2.508,560","2.544,850","2.497,209","1,14%"
"Oct 2024","2.504,917","2.488,142","2.519,987","2.484,795","0,73%"
"Sep 2024","2.486,710","2.459,517","2.490,003","2.459,517","1,01%"
"Ago 2024","2.461,934","2.435,333","2.463,679","2.403,430","1,07%"
"Jul 2024","2.435,906","2.406,247","2.437,887","2.401,537","0,98%"
"Jun 2024","2.412,193","2.367,340","2.412,193","2.362,204","2,03%"
"May 2024","2.364,177","2.352,514","2.373,851","2.352,514","0,86%"
"Abr 2024","2.343,974","2.402,407","2.403,044","2.331,438","-2,25%"
"Mar 2024","2.397,828","2.356,111","2.397,828","2.352,563","1,60%"
"Feb 2024","2.360,136","2.290,048","2.361,161","2.290,048","3,29%"
"Ene 2024","2.285,020","2.244,635","2.285,020","2.231,655","1,48%"
"Dic 2023","2.251,796","2.158,160","2.252,364","2.158,160","4,55%"
"Nov 2023","2.153,773","2.068,563","2.153,773","2.068,563","3,76%"
"Oct 2023","2.075,818","2.106,151","2.146,649","2.075,818","-1,80%"
"Sep 2023","2.113,826","2.111,500","2.141,325","2.107,367","0,21%"
"Ago 2023","2.109,346","2.105,136","2.126,595","2.082,954","0,49%"
"Jul 2023","2.098,994","2.038,177","2.103,781","2.038,177","3,11%"
"Jun 2023","2.035,766","1.999,963","2.043,184","1.999,963","2,06%"
"May 2023","1.994,770","2.007,348","2.008,365","1.988,438","-0,28%"
"Abr 2023","2.000,275","1.974,926","2.020,083","1.974,926","1,55%"
"Mar 2023","1.969,664","1.991,950","1.991,950","1.958,798","-0,40%"
"Feb 2023","1.977,520","1.989,131","1.989,131","1.959,678","-0,47%"
"Ene 2023","1.986,786","1.975,656","1.990,967","1.972,192","0,49%"
"Dic 2022","1.977,100","2.019,159","2.025,405","1.970,912","-2,58%"
"Nov 2022","2.029,379","1.963,938","2.045,301","1.958,960","3,11%"
"Oct 2022","1.968,091","1.942,018","1.974,094","1.912,740","1,03%"
"Sep 2022","1.948,068","1.978,475","1.998,014","1.948,068","-2,20%"
"Ago 2022","1.991,856","2.009,962","2.046,370","1.991,856","-0,81%"
"Jul 2022","2.008,077","1.961,186","2.040,481","1.961,186","2,68%"
"Jun 2022","1.955,701","1.945,870","1.956,423","1.901,612","1,18%"
"May 2022","1.932,805","1.945,176","1.952,002","1.903,321","-0,92%"
"Abr 2022","1.950,735","1.931,734","1.955,114","1.926,478","1,74%"
"Mar 2022","1.917,295","1.918,493","1.926,732","1.898,997","0,59%"
"Feb 2022","1.906,057","1.927,682","1.963,428","1.898,691","-0,79%"
"Ene 2022","1.921,232","2.018,181","2.023,874","1.921,232","-4,94%"
"Dic 2021","2.021,154","1.992,740","2.027,344","1.982,055","1,80%"
"Nov 2021","1.985,446","1.956,833","2.005,047","1.956,833","1,65%"
"Oct 2021","1.953,219","1.941,568","1.955,409","1.921,879","0,73%"
"Sep 2021","1.939,047","1.963,232","1.963,232","1.939,047","-1,21%"
"Ago 2021","1.962,833","1.918,302","1.962,833","1.917,502","2,27%"
"Jul 2021","1.919,339","1.897,017","1.923,994","1.884,664","1,35%"
"Jun 2021","1.893,748","1.879,401","1.905,230","1.868,580","0,89%"
"May 2021","1.877,019","1.860,143","1.877,019","1.843,567","0,85%"
"Abr 2021","1.861,237","1.869,786","1.883,048","1.861,237","-0,78%"
"Mar 2021","1.875,855","1.863,467","1.886,647","1.863,467","0,56%"
"Feb 2021","1.865,500","1.861,500","1.906,413","1.861,496","-0,78%"
"Ene 2021","1.880,221","1.828,962","1.884,206","1.824,130","2,97%"
"Dic 2020","1.825,929","1.850,557","1.850,726","1.817,954","-1,15%"
"Nov 2020","1.847,133","1.758,317","1.852,450","1.758,317","4,59%"
