"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","1.982,548","1.978,983","1.989,836","1.976,625","0,20%"
"Feb 2026","1.978,622","1.967,848","1.978,622","1.967,848","0,55%"
"Ene 2026","1.967,854","1.954,851","1.967,859","1.954,274","0,68%"
"Dic 2025","1.954,563","1.950,096","1.954,563","1.949,377","0,20%"
"Nov 2025","1.950,586","1.942,401","1.951,671","1.941,734","0,44%"
"Oct 2025","1.942,067","1.936,548","1.942,859","1.935,819","0,32%"
"Sep 2025","1.935,849","1.924,818","1.935,849","1.924,818","0,59%"
"Ago 2025","1.924,578","1.911,817","1.926,666","1.910,170","0,75%"
"Jul 2025","1.910,170","1.897,034","1.910,170","1.893,717","0,69%"
"Jun 2025","1.897,036","1.888,683","1.897,626","1.887,910","0,50%"
"May 2025","1.887,679","1.888,040","1.889,491","1.883,843","0,00%"
"Abr 2025","1.887,648","1.870,572","1.887,648","1.868,530","1,02%"
"Mar 2025","1.868,530","1.853,658","1.868,530","1.853,658","0,85%"
"Feb 2025","1.852,746","1.836,787","1.852,746","1.836,787","0,90%"
"Ene 2025","1.836,239","1.823,236","1.839,277","1.823,236","0,83%"
"Dic 2024","1.821,127","1.825,580","1.832,083","1.820,663","-0,15%"
"Nov 2024","1.823,855","1.803,720","1.825,705","1.803,720","1,18%"
"Oct 2024","1.802,504","1.824,473","1.827,384","1.802,504","-1,05%"
"Sep 2024","1.821,614","1.794,094","1.821,614","1.793,643","1,60%"
"Ago 2024","1.792,955","1.763,092","1.793,267","1.763,092","1,76%"
"Jul 2024","1.761,955","1.737,529","1.761,955","1.737,529","1,45%"
"Jun 2024","1.736,750","1.726,175","1.740,872","1.726,175","0,54%"
"May 2024","1.727,487","1.706,389","1.730,699","1.706,389","1,39%"
"Abr 2024","1.703,738","1.703,154","1.708,281","1.694,549","0,04%"
"Mar 2024","1.703,125","1.683,534","1.703,125","1.683,534","1,08%"
"Feb 2024","1.684,973","1.672,332","1.689,694","1.672,332","0,80%"
"Ene 2024","1.671,626","1.669,547","1.671,626","1.658,729","0,21%"
"Dic 2023","1.668,046","1.637,042","1.668,618","1.637,042","2,09%"
"Nov 2023","1.633,846","1.586,608","1.633,846","1.586,608","2,97%"
"Oct 2023","1.586,755","1.596,138","1.604,492","1.585,587","-0,67%"
"Sep 2023","1.597,409","1.613,900","1.617,380","1.597,409","-0,98%"
"Ago 2023","1.613,220","1.603,474","1.613,220","1.603,474","0,86%"
"Jul 2023","1.599,531","1.599,106","1.602,456","1.591,080","0,08%"
"Jun 2023","1.598,184","1.573,422","1.599,811","1.573,422","1,53%"
"May 2023","1.574,030","1.580,855","1.582,857","1.570,787","-0,37%"
"Abr 2023","1.579,906","1.587,040","1.593,207","1.579,341","-0,18%"
