Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"2.989,892","2.989,892","2.989,892","2.986,304","0,12%"
23.03.2026,"2.986,304","2.986,304","2.986,304","2.984,911","0,03%"
22.03.2026,"2.985,370","2.985,370","2.985,370","2.983,367","0,01%"
21.03.2026,"2.985,141","2.985,141","2.985,141","2.985,141","0,01%"
20.03.2026,"2.984,911","2.984,911","2.984,911","2.984,911","0,05%"
19.03.2026,"2.983,367","2.983,367","2.983,367","2.982,838","0,02%"
18.03.2026,"2.982,838","2.982,838","2.982,838","2.982,608","0,01%"
17.03.2026,"2.982,608","2.982,608","2.982,608","2.982,404","0,01%"
16.03.2026,"2.982,404","2.982,404","2.982,404","2.981,560","0,01%"
15.03.2026,"2.982,044","2.982,044","2.982,044","2.981,560","0,01%"
14.03.2026,"2.981,802","2.981,802","2.981,802","2.981,802","0,01%"
13.03.2026,"2.981,560","2.981,560","2.981,560","2.981,560","0,01%"
12.03.2026,"2.981,321","2.981,321","2.981,333","2.981,321","-0,00%"
11.03.2026,"2.981,333","2.981,333","2.981,333","2.980,896","0,01%"
10.03.2026,"2.980,896","2.980,896","2.981,562","2.980,896","-0,02%"
09.03.2026,"2.981,562","2.981,562","2.981,562","2.979,705","0,03%"
08.03.2026,"2.980,562","2.980,562","2.980,562","2.979,705","0,01%"
07.03.2026,"2.980,134","2.980,134","2.980,134","2.980,134","0,01%"
06.03.2026,"2.979,705","2.979,705","2.979,705","2.979,705","0,03%"
05.03.2026,"2.978,802","2.978,802","2.978,802","2.977,953","0,03%"
04.03.2026,"2.977,953","2.977,953","2.977,953","2.976,789","0,04%"
03.03.2026,"2.976,789","2.976,789","2.976,789","2.975,829","0,03%"
02.03.2026,"2.975,829","2.975,829","2.975,829","2.973,903","0,04%"
01.03.2026,"2.974,779","2.974,779","2.974,779","2.973,222","0,01%"
28.02.2026,"2.974,341","2.974,341","2.974,341","2.974,341","0,01%"
27.02.2026,"2.973,903","2.973,903","2.973,903","2.973,903","0,02%"
26.02.2026,"2.973,222","2.973,222","2.973,222","2.972,586","0,02%"
25.02.2026,"2.972,586","2.972,586","2.972,586","2.972,282","0,01%"
24.02.2026,"2.972,282","2.972,282","2.972,282","2.972,228","0,00%"
23.02.2026,"2.972,228","2.972,228","2.972,228","2.971,006","0,01%"
22.02.2026,"2.971,880","2.971,880","2.971,880","2.971,006","0,01%"
21.02.2026,"2.971,443","2.971,443","2.971,443","2.971,443","0,01%"
20.02.2026,"2.971,006","2.971,006","2.971,006","2.971,006","0,01%"
19.02.2026,"2.970,596","2.970,596","2.970,596","2.970,302","0,01%"
18.02.2026,"2.970,302","2.970,302","2.970,302","2.969,833","0,02%"
17.02.2026,"2.969,833","2.969,833","2.969,833","2.969,378","0,02%"
