Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"2.538,456","2.538,456","2.538,456","2.530,431","0,32%"
23.03.2026,"2.530,431","2.530,431","2.530,931","2.530,431","-0,02%"
22.03.2026,"2.530,931","2.530,931","2.530,931","2.530,639","0,01%"
21.03.2026,"2.530,785","2.530,785","2.530,785","2.530,785","0,01%"
20.03.2026,"2.530,639","2.530,639","2.530,639","2.530,639","0,01%"
19.03.2026,"2.530,442","2.530,442","2.532,141","2.530,442","-0,07%"
18.03.2026,"2.532,141","2.532,141","2.533,137","2.532,141","-0,04%"
17.03.2026,"2.533,137","2.533,137","2.533,137","2.533,119","0,00%"
16.03.2026,"2.533,119","2.533,119","2.535,267","2.533,119","-0,08%"
15.03.2026,"2.535,267","2.535,267","2.536,524","2.534,973","0,01%"
14.03.2026,"2.535,120","2.535,120","2.535,120","2.535,120","0,01%"
13.03.2026,"2.534,973","2.534,973","2.534,973","2.534,973","-0,06%"
12.03.2026,"2.536,524","2.536,524","2.537,838","2.536,524","-0,05%"
11.03.2026,"2.537,838","2.537,838","2.538,158","2.537,838","-0,01%"
10.03.2026,"2.538,158","2.538,158","2.539,570","2.538,158","-0,06%"
09.03.2026,"2.539,570","2.539,570","2.539,570","2.536,155","0,10%"
08.03.2026,"2.537,096","2.537,096","2.537,096","2.536,155","0,02%"
07.03.2026,"2.536,625","2.536,625","2.536,625","2.536,625","0,02%"
06.03.2026,"2.536,155","2.536,155","2.536,155","2.536,155","0,14%"
05.03.2026,"2.532,563","2.532,563","2.532,563","2.530,187","0,09%"
04.03.2026,"2.530,187","2.530,187","2.530,187","2.527,885","0,09%"
03.03.2026,"2.527,885","2.527,885","2.527,885","2.527,352","0,02%"
02.03.2026,"2.527,352","2.527,352","2.527,352","2.524,624","0,07%"
01.03.2026,"2.525,580","2.525,580","2.525,580","2.522,520","0,02%"
28.02.2026,"2.525,102","2.525,102","2.525,102","2.525,102","0,02%"
27.02.2026,"2.524,624","2.524,624","2.524,624","2.524,624","0,08%"
26.02.2026,"2.522,520","2.522,520","2.522,520","2.521,475","0,04%"
25.02.2026,"2.521,475","2.521,475","2.521,475","2.521,229","0,01%"
24.02.2026,"2.521,229","2.521,229","2.521,337","2.521,229","-0,00%"
23.02.2026,"2.521,337","2.521,337","2.521,337","2.520,170","0,01%"
22.02.2026,"2.521,125","2.521,125","2.521,125","2.520,170","0,02%"
21.02.2026,"2.520,647","2.520,647","2.520,647","2.520,647","0,02%"
20.02.2026,"2.520,170","2.520,170","2.520,170","2.520,170","0,03%"
19.02.2026,"2.519,510","2.519,510","2.519,510","2.519,404","0,00%"
