Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"6.569,457","6.569,457","6.569,457","6.549,998","0,30%"
23.03.2026,"6.549,998","6.549,998","6.550,392","6.549,671","-0,01%"
22.03.2026,"6.550,392","6.550,392","6.550,392","6.549,671","0,01%"
21.03.2026,"6.550,031","6.550,031","6.550,031","6.550,031","0,01%"
20.03.2026,"6.549,671","6.549,671","6.549,671","6.549,671","0,05%"
19.03.2026,"6.546,691","6.546,691","6.548,814","6.546,691","-0,03%"
18.03.2026,"6.548,814","6.548,814","6.550,527","6.548,814","-0,03%"
17.03.2026,"6.550,527","6.550,527","6.550,912","6.550,527","-0,01%"
16.03.2026,"6.550,912","6.550,912","6.553,460","6.550,912","-0,04%"
15.03.2026,"6.553,460","6.553,460","6.554,990","6.552,731","0,01%"
14.03.2026,"6.553,096","6.553,096","6.553,096","6.553,096","0,01%"
13.03.2026,"6.552,731","6.552,731","6.552,731","6.552,731","-0,03%"
12.03.2026,"6.554,990","6.554,990","6.556,944","6.554,990","-0,03%"
11.03.2026,"6.556,944","6.556,944","6.557,269","6.556,944","-0,00%"
10.03.2026,"6.557,269","6.557,269","6.562,150","6.557,269","-0,07%"
09.03.2026,"6.562,150","6.562,150","6.562,150","6.552,804","0,10%"
08.03.2026,"6.555,284","6.555,284","6.555,284","6.552,804","0,02%"
07.03.2026,"6.554,043","6.554,043","6.554,043","6.554,043","0,02%"
06.03.2026,"6.552,804","6.552,804","6.552,804","6.552,804","0,12%"
05.03.2026,"6.544,727","6.544,727","6.544,727","6.538,784","0,09%"
04.03.2026,"6.538,784","6.538,784","6.538,784","6.532,852","0,09%"
03.03.2026,"6.532,852","6.532,852","6.532,852","6.530,441","0,04%"
02.03.2026,"6.530,441","6.530,441","6.530,441","6.523,598","0,07%"
01.03.2026,"6.526,161","6.526,161","6.526,161","6.518,699","0,02%"
28.02.2026,"6.524,878","6.524,878","6.524,878","6.524,878","0,02%"
27.02.2026,"6.523,598","6.523,598","6.523,598","6.523,598","0,08%"
26.02.2026,"6.518,699","6.518,699","6.518,699","6.516,160","0,04%"
25.02.2026,"6.516,160","6.516,160","6.516,160","6.515,367","0,01%"
24.02.2026,"6.515,367","6.515,367","6.515,954","6.515,367","-0,01%"
23.02.2026,"6.515,954","6.515,954","6.515,954","6.512,557","0,01%"
22.02.2026,"6.515,120","6.515,120","6.515,120","6.512,557","0,02%"
21.02.2026,"6.513,838","6.513,838","6.513,838","6.513,838","0,02%"
20.02.2026,"6.512,557","6.512,557","6.512,557","6.512,557","0,03%"
19.02.2026,"6.510,549","6.510,549","6.510,549","6.509,982","0,01%"
18.02.2026,"6.509,982","6.509,982","6.509,982","6.507,507","0,04%"
17.02.2026,"6.507,507","6.507,507","6.507,507","6.505,444","0,03%"
16.02.2026,"6.505,444","6.505,444","6.505,444","6.501,542","0,02%"
15.02.2026,"6.504,104","6.504,104","6.504,104","6.500,000","0,02%"
14.02.2026,"6.502,823","6.502,823","6.502,823","6.502,823","0,02%"
13.02.2026,"6.501,542","6.501,542","6.501,542","6.500,000","0,02%"
12.02.2026,"6.500,000","6.500,000","6.500,559","6.500,000","-0,01%"
11.02.2026,"6.500,559","6.500,559","6.500,559","6.495,552","0,08%"
10.02.2026,"6.495,552","6.495,552","6.495,552","6.489,128","0,10%"
09.02.2026,"6.489,128","6.489,128","6.493,677","6.487,151","0,03%"
08.02.2026,"6.487,198","6.487,198","6.493,677","6.487,151","0,00%"
07.02.2026,"6.487,174","6.487,174","6.487,174","6.487,174","0,00%"
06.02.2026,"6.487,151","6.487,151","6.487,151","6.487,151","-0,10%"
05.02.2026,"6.493,677","6.493,677","6.493,677","6.489,531","0,06%"
04.02.2026,"6.489,531","6.489,531","6.489,531","6.489,087","0,01%"
03.02.2026,"6.489,087","6.489,087","6.489,087","6.487,891","0,02%"
02.02.2026,"6.487,891","6.487,891","6.487,891","6.485,379","0,04%"
01.02.2026,"6.485,430","6.485,430","6.485,430","6.485,379","0,00%"
31.01.2026,"6.485,405","6.485,405","6.485,405","6.485,405","0,00%"
30.01.2026,"6.485,379","6.485,379","6.485,379","6.485,379","0,08%"
29.01.2026,"6.480,364","6.480,364","6.480,364","6.476,430","0,06%"
28.01.2026,"6.476,430","6.476,430","6.476,430","6.471,622","0,07%"
27.01.2026,"6.471,622","6.471,622","6.471,622","6.469,426","0,03%"
26.01.2026,"6.469,426","6.469,426","6.470,989","6.469,426","-0,02%"
25.01.2026,"6.470,989","6.470,989","6.470,989","6.470,903","0,00%"
24.01.2026,"6.470,946","6.470,946","6.470,946","6.470,946","0,00%"
23.01.2026,"6.470,903","6.470,903","6.470,903","6.470,903","-0,01%"
22.01.2026,"6.471,721","6.471,721","6.471,721","6.470,692","0,02%"
21.01.2026,"6.470,692","6.470,692","6.470,692","6.470,502","0,00%"
20.01.2026,"6.470,502","6.470,502","6.470,502","6.470,502","-0,01%"
19.01.2026,"6.470,829","6.470,829","6.470,829","6.470,829","0,05%"
18.01.2026,"6.467,679","6.467,679","6.467,679","6.466,648","0,00%"
17.01.2026,"6.467,627","6.467,627","6.467,627","6.467,627","0,00%"
16.01.2026,"6.467,576","6.467,576","6.467,576","6.467,576","0,01%"
15.01.2026,"6.466,648","6.466,648","6.466,648","6.466,648","0,08%"
14.01.2026,"6.461,726","6.461,726","6.461,726","6.461,726","0,09%"
13.01.2026,"6.455,722","6.455,722","6.455,722","6.455,722","-0,02%"
12.01.2026,"6.457,322","6.457,322","6.457,322","6.456,436","0,01%"
11.01.2026,"6.456,563","6.456,563","6.456,563","6.456,436","0,00%"
10.01.2026,"6.456,500","6.456,500","6.456,500","6.456,500","0,00%"
09.01.2026,"6.456,436","6.456,436","6.456,436","6.456,436","0,01%"
08.01.2026,"6.455,759","6.455,759","6.455,759","6.454,678","0,02%"
07.01.2026,"6.454,678","6.454,678","6.454,678","6.454,678","0,00%"
06.01.2026,"6.454,583","6.454,583","6.457,863","6.454,583","-0,05%"
05.01.2026,"6.457,863","6.457,863","6.457,863","6.457,863","0,11%"
04.01.2026,"6.451,040","6.451,040","6.451,040","6.448,969","0,02%"
03.01.2026,"6.450,004","6.450,004","6.450,004","6.450,004","0,02%"
02.01.2026,"6.448,969","6.448,969","6.448,969","6.448,969","0,00%"
01.01.2026,"6.448,776","6.448,776","6.448,776","6.446,711","0,02%"
31.12.2025,"6.447,744","6.447,744","6.447,744","6.447,744","0,02%"
30.12.2025,"6.446,711","6.446,711","6.446,711","6.446,711","0,01%"
29.12.2025,"6.446,389","6.446,389","6.446,389","6.446,389","0,02%"
28.12.2025,"6.445,145","6.445,145","6.445,145","6.439,651","0,02%"
27.12.2025,"6.444,113","6.444,113","6.444,113","6.444,113","0,02%"
26.12.2025,"6.443,083","6.443,083","6.443,083","6.443,083","0,04%"
25.12.2025,"6.440,684","6.440,684","6.440,684","6.439,651","0,02%"
24.12.2025,"6.439,651","6.439,651","6.439,651","6.439,651","0,03%"
23.12.2025,"6.437,926","6.437,926","6.438,377","6.437,926","-0,01%"
22.12.2025,"6.438,377","6.438,377","6.438,377","6.438,377","-0,10%"
21.12.2025,"6.444,780","6.444,780","6.444,780","6.442,735","0,02%"
20.12.2025,"6.443,757","6.443,757","6.443,757","6.443,757","0,02%"
19.12.2025,"6.442,735","6.442,735","6.442,735","6.442,735","-0,01%"
18.12.2025,"6.443,394","6.443,394","6.443,394","6.443,394","0,00%"
17.12.2025,"6.443,302","6.443,302","6.443,302","6.443,302","0,04%"
16.12.2025,"6.440,854","6.440,854","6.440,854","6.438,678","0,03%"
15.12.2025,"6.438,678","6.438,678","6.440,182","6.438,150","-0,02%"
14.12.2025,"6.440,182","6.440,182","6.440,182","6.438,150","0,02%"
13.12.2025,"6.439,167","6.439,167","6.439,167","6.439,167","0,02%"
12.12.2025,"6.438,150","6.438,150","6.438,150","6.436,791","0,02%"
11.12.2025,"6.436,791","6.436,791","6.436,791","6.435,183","0,02%"
10.12.2025,"6.435,183","6.435,183","6.435,357","6.435,183","-0,00%"
09.12.2025,"6.435,357","6.435,357","6.437,642","6.435,357","-0,04%"
08.12.2025,"6.437,642","6.437,642","6.437,642","6.436,348","0,01%"
07.12.2025,"6.437,210","6.437,210","6.437,210","6.437,210","0,01%"
06.12.2025,"6.436,779","6.436,779","6.436,779","6.436,779","0,01%"
05.12.2025,"6.436,348","6.436,348","6.436,348","6.436,348","-0,01%"
04.12.2025,"6.436,794","6.436,794","6.436,794","6.436,752","0,00%"
03.12.2025,"6.436,752","6.436,752","6.436,752","6.433,024","0,06%"
02.12.2025,"6.433,024","6.433,024","6.434,728","6.433,024","-0,03%"
01.12.2025,"6.434,728","6.434,728","6.436,270","6.434,728","-0,02%"
30.11.2025,"6.436,270","6.436,270","6.437,321","6.435,417","0,01%"
29.11.2025,"6.435,843","6.435,843","6.437,321","6.435,417","0,01%"
28.11.2025,"6.435,417","6.435,417","6.435,417","6.435,417","-0,03%"
27.11.2025,"6.437,321","6.437,321","6.437,970","6.437,321","-0,01%"
26.11.2025,"6.437,970","6.437,970","6.440,957","6.437,970","-0,05%"
25.11.2025,"6.440,957","6.440,957","6.440,957","6.440,472","0,01%"
24.11.2025,"6.440,472","6.440,472","6.441,571","6.440,472","-0,02%"
23.11.2025,"6.441,571","6.441,571","6.441,571","6.440,716","0,01%"
22.11.2025,"6.441,143","6.441,143","6.441,143","6.441,143","0,01%"
21.11.2025,"6.440,716","6.440,716","6.440,716","6.440,716","0,08%"
20.11.2025,"6.435,616","6.435,616","6.435,616","6.435,581","0,00%"
19.11.2025,"6.435,581","6.435,581","6.435,581","6.435,581","0,01%"
18.11.2025,"6.434,714","6.434,714","6.434,714","6.433,411","0,02%"
17.11.2025,"6.433,411","6.433,411","6.433,411","6.421,772","0,11%"
16.11.2025,"6.426,226","6.426,226","6.426,226","6.421,772","0,01%"
15.11.2025,"6.425,792","6.425,792","6.425,792","6.425,792","0,01%"
14.11.2025,"6.425,357","6.425,357","6.425,357","6.425,357","0,06%"
13.11.2025,"6.421,772","6.421,772","6.422,353","6.421,772","-0,01%"
12.11.2025,"6.422,353","6.422,353","6.424,797","6.422,353","-0,04%"
11.11.2025,"6.424,797","6.424,797","6.425,789","6.424,797","-0,02%"
10.11.2025,"6.425,789","6.425,789","6.425,789","6.423,070","0,01%"
09.11.2025,"6.425,404","6.425,404","6.425,404","6.417,169","0,02%"
08.11.2025,"6.424,238","6.424,238","6.424,238","6.424,238","0,02%"
07.11.2025,"6.423,070","6.423,070","6.423,070","6.423,070","0,05%"
06.11.2025,"6.419,990","6.419,990","6.419,990","6.417,169","0,04%"
05.11.2025,"6.417,169","6.417,169","6.417,169","6.417,169","-0,01%"
04.11.2025,"6.417,559","6.417,559","6.417,559","6.414,776","0,04%"
03.11.2025,"6.414,776","6.414,776","6.415,486","6.411,997","-0,01%"
