Fecha,Último,Apertura,Máximo,Mínimo,% var.
13.06.2025,"2.847,110","2.847,110","2.847,110","2.846,365","0,03%"
12.06.2025,"2.846,365","2.846,365","2.846,365","2.846,365","-0,14%"
11.06.2025,"2.850,268","2.850,268","2.850,268","2.848,063","0,08%"
10.06.2025,"2.848,063","2.848,063","2.848,063","2.848,063","0,24%"
09.06.2025,"2.841,213","2.841,213","2.841,213","2.841,213","0,25%"
08.06.2025,"2.834,135","2.834,135","2.834,135","2.829,228","0,00%"
07.06.2025,"2.834,069","2.834,069","2.834,069","2.834,069","0,00%"
06.06.2025,"2.834,003","2.834,003","2.834,003","2.834,003","0,16%"
05.06.2025,"2.829,348","2.829,348","2.829,348","2.829,348","-0,33%"
04.06.2025,"2.838,575","2.838,575","2.838,575","2.838,575","0,10%"
03.06.2025,"2.835,759","2.835,759","2.835,759","2.829,912","0,21%"
02.06.2025,"2.829,912","2.827,191","2.829,912","2.827,191","0,00%"
31.05.2025,"2.829,838","2.829,875","2.829,875","2.829,838","0,00%"
30.05.2025,"2.829,838","2.829,838","2.829,838","2.829,838","-0,02%"
29.05.2025,"2.830,509","2.830,509","2.830,509","2.830,509","-0,02%"
28.05.2025,"2.831,188","2.831,188","2.831,188","2.831,188","-0,32%"
27.05.2025,"2.840,367","2.840,367","2.840,367","2.840,367","0,47%"
26.05.2025,"2.827,180","2.827,180","2.827,180","2.827,180","-0,14%"
25.05.2025,"2.831,116","2.831,116","2.835,425","2.831,044","0,00%"
24.05.2025,"2.831,080","2.831,080","2.831,080","2.831,080","0,00%"
23.05.2025,"2.831,044","2.831,044","2.831,044","2.831,044","-0,15%"
22.05.2025,"2.835,425","2.835,425","2.835,425","2.835,425","-0,56%"
21.05.2025,"2.851,486","2.851,486","2.851,486","2.851,451","0,00%"
20.05.2025,"2.851,451","2.851,451","2.851,451","2.851,451","0,35%"
19.05.2025,"2.841,483","2.841,483","2.852,369","2.841,483","-0,38%"
18.05.2025,"2.852,369","2.852,369","2.852,369","2.852,369","0,00%"
17.05.2025,"2.852,357","2.852,357","2.852,357","2.835,661","0,00%"
16.05.2025,"2.852,345","2.852,345","2.852,345","2.852,345","0,42%"
15.05.2025,"2.840,530","2.840,530","2.840,530","2.835,661","0,17%"
14.05.2025,"2.835,661","2.835,661","2.835,661","2.835,661","0,13%"
13.05.2025,"2.832,037","2.832,037","2.832,037","2.824,491","0,27%"
12.05.2025,"2.824,491","2.824,491","2.824,491","2.824,491","1,29%"
11.05.2025,"2.788,522","2.788,522","2.796,833","2.788,490","0,00%"
10.05.2025,"2.788,506","2.788,506","2.788,506","2.788,506","0,00%"
09.05.2025,"2.788,490","2.788,490","2.788,490","2.788,490","-0,30%"
08.05.2025,"2.796,833","2.796,833","2.796,833","2.796,833","-0,17%"
07.05.2025,"2.801,458","2.801,458","2.801,458","2.801,458","0,45%"
06.05.2025,"2.789,014","2.789,014","2.789,014","2.789,014","-0,09%"
05.05.2025,"2.791,552","2.791,552","2.791,552","2.791,552","-0,04%"
04.05.2025,"2.792,793","2.792,793","2.797,438","2.792,640","0,00%"
03.05.2025,"2.792,717","2.792,717","2.797,438","2.792,640","0,00%"
02.05.2025,"2.792,640","2.792,640","2.792,640","2.792,640","-0,17%"
01.05.2025,"2.797,438","2.797,438","2.797,438","2.797,362","0,00%"
