Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"2.842,210","2.842,210","2.842,210","2.832,229","0,35%"
23.03.2026,"2.832,229","2.832,229","2.833,241","2.832,229","-0,04%"
22.03.2026,"2.833,241","2.833,241","2.833,241","2.832,890","0,01%"
21.03.2026,"2.833,065","2.833,065","2.833,065","2.833,065","0,01%"
20.03.2026,"2.832,890","2.832,890","2.832,890","2.832,890","0,00%"
19.03.2026,"2.832,795","2.832,795","2.835,506","2.832,795","-0,10%"
18.03.2026,"2.835,506","2.835,506","2.837,257","2.835,506","-0,06%"
17.03.2026,"2.837,257","2.837,257","2.837,672","2.837,257","-0,01%"
16.03.2026,"2.837,672","2.837,672","2.840,568","2.837,672","-0,10%"
15.03.2026,"2.840,568","2.840,568","2.842,380","2.840,228","0,01%"
14.03.2026,"2.840,398","2.840,398","2.840,398","2.840,398","0,01%"
13.03.2026,"2.840,228","2.840,228","2.840,228","2.840,228","-0,08%"
12.03.2026,"2.842,380","2.842,380","2.844,033","2.842,380","-0,06%"
11.03.2026,"2.844,033","2.844,033","2.844,725","2.844,033","-0,02%"
10.03.2026,"2.844,725","2.844,725","2.846,273","2.844,725","-0,05%"
09.03.2026,"2.846,273","2.846,273","2.846,273","2.841,882","0,12%"
08.03.2026,"2.842,950","2.842,950","2.842,950","2.841,882","0,02%"
07.03.2026,"2.842,416","2.842,416","2.842,416","2.842,416","0,02%"
06.03.2026,"2.841,882","2.841,882","2.841,882","2.841,882","0,18%"
05.03.2026,"2.836,754","2.836,754","2.836,754","2.833,454","0,12%"
04.03.2026,"2.833,454","2.833,454","2.833,454","2.830,577","0,10%"
03.03.2026,"2.830,577","2.830,577","2.830,577","2.830,119","0,02%"
02.03.2026,"2.830,119","2.830,119","2.830,119","2.827,086","0,07%"
01.03.2026,"2.828,181","2.828,181","2.828,181","2.824,389","0,02%"
28.02.2026,"2.827,633","2.827,633","2.827,633","2.827,633","0,02%"
27.02.2026,"2.827,086","2.827,086","2.827,086","2.827,086","0,10%"
26.02.2026,"2.824,389","2.824,389","2.824,389","2.823,168","0,04%"
25.02.2026,"2.823,168","2.823,168","2.823,168","2.822,718","0,02%"
24.02.2026,"2.822,718","2.822,718","2.822,722","2.822,718","-0,00%"
23.02.2026,"2.822,722","2.822,722","2.822,722","2.821,218","0,01%"
22.02.2026,"2.822,312","2.822,312","2.822,312","2.821,218","0,02%"
21.02.2026,"2.821,765","2.821,765","2.821,765","2.821,765","0,02%"
20.02.2026,"2.821,218","2.821,218","2.821,218","2.821,218","0,03%"
19.02.2026,"2.820,436","2.820,436","2.820,436","2.820,221","0,01%"
18.02.2026,"2.820,221","2.820,221","2.820,221","2.818,654","0,06%"
17.02.2026,"2.818,654","2.818,654","2.818,654","2.817,805","0,03%"
16.02.2026,"2.817,805","2.817,805","2.817,805","2.816,239","0,02%"
15.02.2026,"2.817,334","2.817,334","2.817,334","2.815,777","0,02%"
14.02.2026,"2.816,787","2.816,787","2.816,787","2.816,787","0,02%"
13.02.2026,"2.816,239","2.816,239","2.816,239","2.815,777","0,02%"
12.02.2026,"2.815,777","2.815,777","2.816,420","2.815,777","-0,02%"
11.02.2026,"2.816,420","2.816,420","2.816,420","2.814,362","0,07%"
10.02.2026,"2.814,362","2.814,362","2.814,362","2.811,149","0,11%"
09.02.2026,"2.811,149","2.811,149","2.813,950","2.811,090","0,00%"
08.02.2026,"2.811,124","2.811,124","2.813,950","2.811,090","0,00%"
07.02.2026,"2.811,106","2.811,106","2.811,106","2.811,106","0,00%"
06.02.2026,"2.811,090","2.811,090","2.811,090","2.811,090","-0,10%"
