Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"7.189,961","7.189,961","7.256,469","7.189,961","-0,92%"
23.03.2026,"7.256,469","7.256,469","7.281,781","7.256,469","-0,34%"
22.03.2026,"7.281,378","7.281,378","7.281,781","7.281,378","-0,00%"
21.03.2026,"7.281,579","7.281,579","7.281,579","7.281,579","-0,00%"
20.03.2026,"7.281,781","7.281,781","7.281,781","7.281,781","-1,77%"
19.03.2026,"7.412,847","7.412,847","7.517,000","7.412,847","-1,39%"
18.03.2026,"7.517,000","7.517,000","7.523,465","7.517,000","-0,09%"
17.03.2026,"7.523,465","7.523,465","7.523,465","7.491,165","0,43%"
16.03.2026,"7.491,165","7.491,165","7.491,165","7.404,380","1,17%"
15.03.2026,"7.404,380","7.404,380","7.404,789","7.354,640","-0,00%"
14.03.2026,"7.404,584","7.404,584","7.404,584","7.404,584","-0,00%"
13.03.2026,"7.404,789","7.404,789","7.404,789","7.404,789","0,68%"
12.03.2026,"7.354,640","7.354,640","7.432,873","7.354,640","-1,05%"
11.03.2026,"7.432,873","7.432,873","7.511,545","7.432,873","-1,05%"
10.03.2026,"7.511,545","7.511,545","7.511,545","7.376,742","1,83%"
09.03.2026,"7.376,742","7.376,742","7.376,742","7.286,400","1,24%"
08.03.2026,"7.286,400","7.286,400","7.286,769","7.286,400","-0,00%"
07.03.2026,"7.286,585","7.286,585","7.286,585","7.286,585","-0,00%"
06.03.2026,"7.286,769","7.286,769","7.286,769","7.286,769","0,09%"
05.03.2026,"7.280,326","7.280,326","7.425,123","7.280,326","-1,95%"
04.03.2026,"7.425,123","7.425,123","7.425,123","7.231,706","2,67%"
03.03.2026,"7.231,706","7.231,706","7.452,647","7.231,706","-2,96%"
02.03.2026,"7.452,647","7.452,647","7.705,313","7.452,647","-3,27%"
01.03.2026,"7.704,901","7.704,901","7.836,385","7.704,901","-0,00%"
28.02.2026,"7.705,107","7.705,107","7.705,107","7.705,107","-0,00%"
27.02.2026,"7.705,313","7.705,313","7.705,313","7.705,313","-1,67%"
26.02.2026,"7.836,385","7.836,385","7.892,132","7.836,385","-0,71%"
25.02.2026,"7.892,132","7.892,132","7.892,132","7.775,175","1,50%"
24.02.2026,"7.775,175","7.775,175","7.775,175","7.727,187","0,62%"
23.02.2026,"7.727,187","7.727,187","7.727,187","7.682,853","0,58%"
22.02.2026,"7.682,853","7.682,853","7.683,288","7.682,853","-0,00%"
21.02.2026,"7.683,071","7.683,071","7.683,071","7.683,071","-0,00%"
20.02.2026,"7.683,288","7.683,288","7.683,288","7.683,288","0,25%"
19.02.2026,"7.664,116","7.664,116","7.708,477","7.664,116","-0,58%"
18.02.2026,"7.708,477","7.708,477","7.716,815","7.708,477","-0,11%"
17.02.2026,"7.716,815","7.716,815","7.731,608","7.716,815","-0,19%"
16.02.2026,"7.731,608","7.731,608","7.731,608","7.712,728","0,24%"
15.02.2026,"7.712,728","7.712,728","7.784,541","7.712,728","-0,00%"
14.02.2026,"7.712,938","7.712,938","7.712,938","7.712,938","-0,00%"
13.02.2026,"7.713,147","7.713,147","7.784,541","7.713,147","-0,92%"
12.02.2026,"7.784,541","7.784,541","7.959,165","7.784,541","-2,19%"
11.02.2026,"7.959,165","7.959,165","7.959,165","7.800,409","2,04%"
10.02.2026,"7.800,409","7.800,409","7.977,974","7.800,409","-2,23%"
09.02.2026,"7.977,974","7.977,974","7.977,974","7.954,474","0,30%"
08.02.2026,"7.954,474","7.954,474","7.975,833","7.954,474","-0,00%"
07.02.2026,"7.954,671","7.954,671","7.954,671","7.954,671","-0,00%"
06.02.2026,"7.954,868","7.954,868","7.954,868","7.954,868","-0,26%"
05.02.2026,"7.975,833","7.975,833","8.100,953","7.975,833","-1,54%"
04.02.2026,"8.100,953","8.100,953","8.236,336","8.100,953","-1,64%"
03.02.2026,"8.236,336","8.236,336","8.236,336","8.103,404","1,12%"
02.02.2026,"8.144,783","8.144,783","8.230,681","8.103,404","0,51%"
01.02.2026,"8.103,404","8.103,410","8.103,832","8.103,404","-0,00%"
31.01.2026,"8.103,621","8.103,621","8.103,621","8.103,621","-0,00%"
30.01.2026,"8.103,832","8.103,832","8.103,832","8.103,832","-0,75%"
29.01.2026,"8.165,012","8.165,012","8.230,689","8.165,012","-0,80%"
28.01.2026,"8.230,689","8.230,689","8.230,689","8.224,087","0,08%"
27.01.2026,"8.224,087","8.224,087","8.224,087","8.165,303","0,72%"
26.01.2026,"8.165,303","8.165,303","8.165,303","8.130,313","0,43%"
25.01.2026,"8.130,313","8.130,313","8.130,703","8.130,313","-0,00%"
24.01.2026,"8.130,508","8.130,508","8.130,508","8.130,508","-0,00%"
23.01.2026,"8.130,703","8.130,703","8.130,703","8.130,703","-0,15%"
