Fecha,Último,Apertura,Máximo,Mínimo,% var.
Mar 2026,"1.913,902","1.901,422","1.913,902","1.900,625","0,67%"
Feb 2026,"1.901,099","1.893,552","1.901,099","1.893,552","0,40%"
Ene 2026,"1.893,578","1.890,424","1.893,604","1.889,936","0,18%"
Dic 2025,"1.890,180","1.888,338","1.890,180","1.887,145","0,08%"
Nov 2025,"1.888,630","1.888,830","1.890,576","1.888,130","0,00%"
Oct 2025,"1.888,553","1.882,947","1.888,553","1.882,880","0,30%"
Sep 2025,"1.882,912","1.875,327","1.882,912","1.874,194","0,41%"
Ago 2025,"1.875,193","1.865,053","1.875,193","1.864,786","0,56%"
Jul 2025,"1.864,727","1.859,556","1.864,727","1.857,679","0,27%"
Jun 2025,"1.859,683","1.854,163","1.859,693","1.853,850","0,33%"
May 2025,"1.853,642","1.849,147","1.853,642","1.849,128","0,26%"
Abr 2025,"1.848,812","1.837,622","1.848,812","1.837,622","0,66%"
Mar 2025,"1.836,769","1.826,179","1.836,769","1.826,179","0,62%"
Feb 2025,"1.825,367","1.815,181","1.825,508","1.815,181","0,60%"
Ene 2025,"1.814,536","1.803,881","1.814,732","1.803,881","0,64%"
Dic 2024,"1.802,960","1.795,681","1.802,960","1.795,681","0,44%"
Nov 2024,"1.795,039","1.780,003","1.795,039","1.780,003","0,86%"
Oct 2024,"1.779,734","1.779,802","1.781,693","1.777,861","0,02%"
Sep 2024,"1.779,340","1.769,098","1.779,340","1.769,098","0,61%"
Ago 2024,"1.768,534","1.755,402","1.768,637","1.755,402","0,77%"
Jul 2024,"1.755,107","1.742,987","1.755,107","1.742,987","0,70%"
Jun 2024,"1.742,895","1.729,624","1.743,813","1.729,624","0,71%"
May 2024,"1.730,642","1.720,101","1.731,688","1.720,101","0,67%"
Abr 2024,"1.719,128","1.708,062","1.719,128","1.708,062","0,67%"
Mar 2024,"1.707,611","1.691,339","1.707,611","1.691,339","0,92%"
Feb 2024,"1.691,994","1.674,142","1.692,217","1.674,142","1,08%"
Ene 2024,"1.673,849","1.665,855","1.673,849","1.663,536","0,51%"
Dic 2023,"1.665,291","1.643,837","1.665,578","1.643,297","1,32%"
Nov 2023,"1.643,521","1.633,956","1.643,573","1.633,956","0,55%"
Oct 2023,"1.634,475","1.626,115","1.635,322","1.624,953","0,44%"
Sep 2023,"1.627,295","1.623,428","1.628,697","1.623,428","0,28%"
Ago 2023,"1.622,737","1.605,750","1.622,737","1.605,750","1,23%"
Jul 2023,"1.603,013","1.595,649","1.603,013","1.594,055","0,50%"
