Fecha,Último,Apertura,Máximo,Mínimo,% var.
Mar 2026,"5.130,578","5.109,923","5.137,132","5.104,709","0,42%"
Feb 2026,"5.109,037","5.080,184","5.109,037","5.076,501","0,57%"
Ene 2026,"5.080,257","5.056,844","5.080,330","5.055,489","0,48%"
Dic 2025,"5.056,167","5.046,228","5.056,167","5.045,030","0,18%"
Nov 2025,"5.046,958","5.034,153","5.051,246","5.032,577","0,27%"
Oct 2025,"5.033,366","5.020,234","5.034,875","5.018,333","0,28%"
Sep 2025,"5.019,165","4.989,491","5.019,165","4.986,508","0,60%"
Ago 2025,"4.989,429","4.959,104","4.990,187","4.958,497","0,68%"
Jul 2025,"4.955,844","4.929,776","4.955,844","4.920,806","0,52%"
Jun 2025,"4.930,280","4.912,598","4.931,949","4.909,777","0,42%"
May 2025,"4.909,777","4.909,872","4.912,327","4.902,926","0,02%"
Abr 2025,"4.908,966","4.866,982","4.908,966","4.866,982","0,96%"
Mar 2025,"4.862,141","4.823,967","4.862,141","4.823,967","0,84%"
Feb 2025,"4.821,616","4.785,608","4.821,616","4.785,608","0,79%"
Ene 2025,"4.783,972","4.750,075","4.791,349","4.750,075","0,81%"
Dic 2024,"4.745,722","4.741,192","4.756,537","4.741,087","0,17%"
Nov 2024,"4.737,536","4.683,328","4.739,764","4.683,328","1,20%"
Oct 2024,"4.681,301","4.720,004","4.726,934","4.681,301","-0,72%"
Sep 2024,"4.715,028","4.656,117","4.715,028","4.655,342","1,32%"
Ago 2024,"4.653,707","4.587,801","4.653,866","4.587,801","1,50%"
Jul 2024,"4.585,048","4.530,821","4.585,048","4.530,821","1,26%"
Jun 2024,"4.528,189","4.498,828","4.532,088","4.498,828","0,62%"
May 2024,"4.500,418","4.456,025","4.508,126","4.456,025","1,15%"
Abr 2024,"4.449,177","4.443,272","4.457,153","4.428,911","0,13%"
Mar 2024,"4.443,250","4.391,538","4.443,250","4.391,538","1,10%"
Feb 2024,"4.394,987","4.356,835","4.402,154","4.356,835","0,91%"
Ene 2024,"4.355,254","4.343,025","4.355,254","4.313,935","0,39%"
