Fecha,Último,Apertura,Máximo,Mínimo,% var.
Mar 2026,"2.618,044","2.621,499","2.653,012","2.614,714","-0,13%"
Feb 2026,"2.621,477","2.611,143","2.622,595","2.589,975","0,39%"
Ene 2026,"2.611,259","2.620,080","2.634,967","2.609,533","-0,34%"
Dic 2025,"2.620,062","2.617,270","2.626,639","2.594,665","-0,02%"
Nov 2025,"2.620,715","2.612,150","2.622,098","2.568,588","0,33%"
Oct 2025,"2.612,147","2.596,400","2.612,541","2.560,471","0,53%"
Sep 2025,"2.598,438","2.563,170","2.598,438","2.558,221","1,56%"
Ago 2025,"2.558,488","2.496,912","2.565,062","2.496,628","1,77%"
Jul 2025,"2.514,004","2.449,706","2.518,427","2.449,706","2,27%"
Jun 2025,"2.458,193","2.427,331","2.458,193","2.425,503","1,35%"
May 2025,"2.425,503","2.402,814","2.436,700","2.398,771","0,95%"
Abr 2025,"2.402,757","2.375,763","2.402,757","2.317,732","1,07%"
Mar 2025,"2.377,290","2.390,493","2.394,097","2.347,665","-0,55%"
Feb 2025,"2.390,355","2.428,221","2.428,221","2.386,545","-1,28%"
Ene 2025,"2.421,391","2.392,725","2.429,396","2.388,225","1,14%"
Dic 2024,"2.394,208","2.406,297","2.422,994","2.392,153","-0,31%"
Nov 2024,"2.401,540","2.371,568","2.410,741","2.357,057","1,55%"
Oct 2024,"2.364,880","2.326,514","2.383,539","2.326,514","1,47%"
Sep 2024,"2.330,577","2.309,017","2.342,160","2.309,017","1,22%"
Ago 2024,"2.302,386","2.296,828","2.312,029","2.255,478","0,13%"
Jul 2024,"2.299,391","2.276,575","2.304,988","2.267,772","0,66%"
Jun 2024,"2.284,325","2.231,961","2.284,325","2.221,392","2,66%"
May 2024,"2.225,226","2.236,537","2.250,635","2.217,668","-0,33%"
Abr 2024,"2.232,536","2.306,633","2.306,929","2.220,155","-3,22%"
Mar 2024,"2.306,915","2.269,540","2.306,915","2.243,767","1,17%"
Feb 2024,"2.280,257","2.185,890","2.280,257","2.185,210","4,57%"
