Fecha,Último,Apertura,Máximo,Mínimo,% var.
Nov 2025,"2.752,985","2.768,864","2.776,145","2.682,500","-0,58%"
Oct 2025,"2.768,984","2.745,651","2.769,102","2.685,148","0,71%"
Sep 2025,"2.749,435","2.701,840","2.749,435","2.694,646","2,03%"
Ago 2025,"2.694,646","2.602,624","2.706,382","2.602,317","2,34%"
Jul 2025,"2.633,148","2.537,080","2.640,867","2.537,080","3,17%"
Jun 2025,"2.552,132","2.506,097","2.552,132","2.501,767","1,95%"
May 2025,"2.503,308","2.466,996","2.525,448","2.458,835","1,47%"
Abr 2025,"2.467,058","2.430,183","2.467,058","2.341,091","1,35%"
Mar 2025,"2.434,089","2.464,208","2.468,907","2.390,244","-1,20%"
Feb 2025,"2.463,547","2.537,782","2.537,782","2.458,044","-2,55%"
Ene 2025,"2.528,091","2.491,073","2.541,092","2.485,870","1,39%"
Dic 2024,"2.493,371","2.505,909","2.533,124","2.487,297","-0,24%"
Nov 2024,"2.499,335","2.457,708","2.519,244","2.433,211","2,19%"
Oct 2024,"2.445,689","2.373,379","2.469,815","2.373,222","2,70%"
Sep 2024,"2.381,486","2.364,344","2.401,733","2.364,048","1,19%"
Ago 2024,"2.353,399","2.366,075","2.374,276","2.291,676","-0,74%"
Jul 2024,"2.370,846","2.347,180","2.383,226","2.327,048","0,43%"
Jun 2024,"2.360,757","2.284,482","2.360,757","2.251,104","3,89%"
May 2024,"2.272,467","2.305,363","2.319,405","2.260,345","-1,22%"
Abr 2024,"2.300,444","2.418,663","2.418,663","2.283,840","-4,91%"
Mar 2024,"2.419,158","2.371,025","2.419,158","2.319,759","1,33%"
Feb 2024,"2.387,332","2.242,578","2.387,332","2.238,469","6,82%"
Ene 2024,"2.234,813","2.149,221","2.234,813","2.130,077","3,20%"
Dic 2023,"2.165,546","2.040,958","2.177,358","2.040,357","5,99%"
Nov 2023,"2.043,069","1.979,325","2.080,010","1.964,301","1,49%"
Oct 2023,"2.013,142","2.011,855","2.096,031","2.003,279","-0,58%"
Sep 2023,"2.024,829","2.007,341","2.052,931","1.994,845","0,78%"
Ago 2023,"2.009,101","2.011,660","2.042,768","1.964,352","0,52%"
Jul 2023,"1.998,752","1.888,587","2.011,283","1.888,021","6,17%"
Jun 2023,"1.882,684","1.845,957","1.905,408","1.845,957","1,87%"
May 2023,"1.848,118","1.847,342","1.862,443","1.827,047","0,58%"
Abr 2023,"1.837,406","1.801,321","1.867,327","1.801,321","2,33%"
Mar 2023,"1.795,508","1.854,702","1.854,702","1.787,503","-1,85%"
Feb 2023,"1.829,414","1.868,852","1.868,852","1.801,211","-1,94%"
Ene 2023,"1.865,606","1.872,341","1.874,674","1.848,364","-0,70%"
Dic 2022,"1.878,798","1.963,828","1.966,691","1.864,816","-4,70%"
Nov 2022,"1.971,474","1.957,380","2.023,694","1.931,563","0,28%"
Oct 2022,"1.966,032","1.948,931","1.999,333","1.892,678","-0,35%"
Sep 2022,"1.972,849","1.963,175","2.005,927","1.935,199","-0,88%"
Ago 2022,"1.990,347","2.014,399","2.093,944","1.990,340","-1,09%"
Jul 2022,"2.012,213","1.912,379","2.059,635","1.912,379","6,10%"
Jun 2022,"1.896,479","1.904,316","1.905,793","1.827,166","0,22%"
May 2022,"1.892,302","1.901,129","1.940,183","1.835,274","-2,04%"
Abr 2022,"1.931,765","1.910,597","1.932,668","1.891,278","2,02%"
Mar 2022,"1.893,580","1.997,551","1.997,551","1.837,828","-3,39%"
Feb 2022,"1.960,056","2.058,476","2.141,983","1.960,056","-3,32%"
Ene 2022,"2.027,284","2.253,021","2.273,818","2.027,284","-10,53%"
Dic 2021,"2.265,812","2.194,057","2.282,010","2.170,050","2,57%"
Nov 2021,"2.209,086","2.181,222","2.253,131","2.169,026","1,54%"
Oct 2021,"2.175,496","2.125,116","2.198,387","2.117,681","2,44%"
Sep 2021,"2.123,741","2.142,184","2.158,919","2.100,455","-0,97%"
Ago 2021,"2.144,466","2.079,032","2.144,586","2.070,947","2,99%"
Jul 2021,"2.082,204","2.039,505","2.084,414","2.019,788","2,26%"
Jun 2021,"2.036,227","2.002,431","2.050,913","1.993,447","1,56%"
May 2021,"2.004,897","1.951,120","2.005,741","1.913,188","2,88%"
Abr 2021,"1.948,784","1.967,964","1.976,390","1.934,598","-1,16%"
Mar 2021,"1.971,640","1.974,809","2.020,733","1.931,527","-0,78%"
Feb 2021,"1.987,138","1.995,857","2.096,777","1.987,138","-2,01%"
Ene 2021,"2.027,960","1.909,991","2.063,132","1.909,545","7,17%"
Dic 2020,"1.892,241","1.944,672","1.944,672","1.876,918","-2,26%"
Nov 2020,"1.935,906","1.803,589","1.948,093","1.803,476","6,69%"
Oct 2020,"1.814,589","1.819,305","1.917,911","1.814,589","-0,16%"
Sep 2020,"1.817,473","1.871,496","1.875,567","1.793,933","-2,06%"
Ago 2020,"1.855,773","1.752,154","1.870,793","1.752,154","5,12%"
Jul 2020,"1.765,377","1.756,350","1.790,249","1.756,165","-0,28%"
Jun 2020,"1.770,341","1.730,442","1.791,738","1.700,562","2,21%"
May 2020,"1.732,139","1.707,863","1.732,139","1.670,438","1,01%"
Abr 2020,"1.714,794","1.612,302","1.714,794","1.601,717","8,03%"
Mar 2020,"1.587,264","1.788,704","1.853,851","1.519,111","-12,33%"
Feb 2020,"1.810,516","1.909,697","1.944,269","1.810,516","-4,54%"
Ene 2020,"1.896,720","1.833,669","1.902,630","1.833,488","3,50%"
