Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"1.913,902","1.919,489","1.919,489","1.913,902","0,00%"
23.03.2026,"1.913,902","1.913,902","1.913,902","1.910,962","0,07%"
22.03.2026,"1.912,546","1.912,546","1.912,546","1.910,962","0,00%"
21.03.2026,"1.912,517","1.912,517","1.912,517","1.912,517","0,00%"
20.03.2026,"1.912,489","1.912,489","1.912,489","1.912,489","0,08%"
19.03.2026,"1.910,962","1.910,962","1.910,962","1.910,038","0,05%"
18.03.2026,"1.910,038","1.910,038","1.910,038","1.909,138","0,05%"
17.03.2026,"1.909,138","1.909,138","1.909,138","1.908,597","0,03%"
16.03.2026,"1.908,597","1.908,597","1.908,597","1.908,597","0,05%"
15.03.2026,"1.907,658","1.907,658","1.907,658","1.907,553","0,00%"
14.03.2026,"1.907,605","1.907,605","1.907,605","1.907,605","0,00%"
13.03.2026,"1.907,553","1.907,553","1.907,553","1.907,553","0,03%"
12.03.2026,"1.907,069","1.907,069","1.907,069","1.906,733","0,02%"
11.03.2026,"1.906,733","1.906,733","1.906,733","1.906,028","0,04%"
10.03.2026,"1.906,028","1.906,028","1.907,957","1.906,028","-0,10%"
09.03.2026,"1.907,957","1.907,957","1.907,957","1.905,951","0,07%"
08.03.2026,"1.906,621","1.906,621","1.906,621","1.905,951","0,02%"
07.03.2026,"1.906,286","1.906,286","1.906,286","1.906,286","0,02%"
06.03.2026,"1.905,951","1.905,951","1.905,951","1.905,951","0,02%"
05.03.2026,"1.905,487","1.905,487","1.905,487","1.904,865","0,03%"
04.03.2026,"1.904,865","1.904,865","1.904,865","1.904,865","0,04%"
03.03.2026,"1.904,191","1.904,191","1.904,191","1.903,004","0,06%"
02.03.2026,"1.903,004","1.903,004","1.903,004","1.900,625","0,08%"
01.03.2026,"1.901,422","1.901,422","1.901,422","1.900,625","0,02%"
28.02.2026,"1.901,099","1.901,099","1.901,099","1.901,099","0,02%"
27.02.2026,"1.900,776","1.900,776","1.900,776","1.900,776","0,01%"
26.02.2026,"1.900,625","1.900,625","1.900,625","1.899,964","0,03%"
25.02.2026,"1.899,964","1.899,964","1.899,964","1.899,964","0,02%"
24.02.2026,"1.899,662","1.899,662","1.899,838","1.899,662","-0,01%"
23.02.2026,"1.899,838","1.899,838","1.899,838","1.898,899","0,02%"
22.02.2026,"1.899,537","1.899,537","1.899,537","1.898,899","0,02%"
21.02.2026,"1.899,218","1.899,218","1.899,218","1.899,218","0,02%"
20.02.2026,"1.898,899","1.898,899","1.898,899","1.898,899","0,01%"
19.02.2026,"1.898,661","1.898,661","1.898,661","1.898,312","0,02%"
18.02.2026,"1.898,312","1.898,312","1.898,312","1.897,681","0,03%"
17.02.2026,"1.897,681","1.897,681","1.897,681","1.897,493","0,01%"
16.02.2026,"1.897,493","1.897,493","1.897,515","1.896,886","-0,00%"
15.02.2026,"1.897,515","1.897,515","1.897,515","1.896,886","0,02%"
14.02.2026,"1.897,200","1.897,200","1.897,200","1.897,200","0,02%"
13.02.2026,"1.896,886","1.896,886","1.896,886","1.896,886","0,04%"
11.02.2026,"1.896,052","1.896,052","1.896,052","1.895,054","0,05%"
10.02.2026,"1.895,054","1.895,054","1.895,054","1.893,909","0,06%"
09.02.2026,"1.893,909","1.893,909","1.895,132","1.893,909","-0,03%"
08.02.2026,"1.894,523","1.894,523","1.895,132","1.894,523","-0,00%"
07.02.2026,"1.894,554","1.894,554","1.894,554","1.894,554","-0,00%"
06.02.2026,"1.894,585","1.894,585","1.894,585","1.894,585","-0,03%"
05.02.2026,"1.895,132","1.895,132","1.895,132","1.894,627","0,03%"
04.02.2026,"1.894,627","1.894,627","1.894,627","1.894,328","0,02%"
03.02.2026,"1.894,328","1.894,328","1.894,328","1.894,149","0,01%"
02.02.2026,"1.894,149","1.894,149","1.894,149","1.893,552","0,03%"
01.02.2026,"1.893,552","1.893,552","1.893,604","1.893,552","-0,00%"
31.01.2026,"1.893,578","1.893,578","1.893,578","1.893,578","-0,00%"
30.01.2026,"1.893,604","1.893,604","1.893,604","1.893,604","0,02%"
29.01.2026,"1.893,286","1.893,286","1.893,567","1.893,286","-0,01%"
28.01.2026,"1.893,567","1.893,567","1.893,567","1.893,310","0,01%"
27.01.2026,"1.893,310","1.893,310","1.893,310","1.893,310","0,04%"
26.01.2026,"1.892,549","1.892,549","1.892,576","1.892,543","0,00%"
