Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"5.130,578","5.146,444","5.146,444","5.130,578","-0,04%"
23.03.2026,"5.132,802","5.130,578","5.132,802","5.129,348","0,06%"
22.03.2026,"5.129,732","5.129,732","5.129,732","5.129,348","0,00%"
21.03.2026,"5.129,540","5.129,540","5.129,540","5.129,540","0,00%"
20.03.2026,"5.129,348","5.129,348","5.129,348","5.129,348","0,00%"
19.03.2026,"5.129,331","5.129,331","5.130,277","5.129,331","-0,02%"
18.03.2026,"5.130,277","5.130,277","5.130,514","5.130,277","-0,00%"
17.03.2026,"5.130,514","5.130,514","5.131,862","5.130,514","-0,03%"
16.03.2026,"5.131,862","5.131,862","5.133,502","5.131,862","-0,03%"
15.03.2026,"5.133,502","5.133,502","5.133,502","5.132,556","0,00%"
14.03.2026,"5.133,307","5.133,307","5.133,307","5.133,307","0,00%"
13.03.2026,"5.133,111","5.133,111","5.133,111","5.133,111","0,01%"
12.03.2026,"5.132,556","5.132,556","5.132,912","5.132,556","-0,01%"
11.03.2026,"5.132,912","5.132,912","5.132,912","5.132,355","0,01%"
10.03.2026,"5.132,355","5.132,355","5.137,132","5.132,355","-0,09%"
09.03.2026,"5.137,132","5.137,132","5.137,132","5.130,439","0,10%"
08.03.2026,"5.132,172","5.132,172","5.132,172","5.130,439","0,02%"
07.03.2026,"5.131,306","5.131,306","5.131,306","5.131,306","0,02%"
06.03.2026,"5.130,439","5.130,439","5.130,439","5.130,439","0,11%"
05.03.2026,"5.124,873","5.124,873","5.124,873","5.120,968","0,08%"
04.03.2026,"5.120,968","5.120,968","5.120,968","5.115,986","0,10%"
03.03.2026,"5.115,986","5.115,986","5.115,986","5.113,887","0,04%"
02.03.2026,"5.113,887","5.113,887","5.113,887","5.104,709","0,08%"
01.03.2026,"5.109,923","5.109,923","5.109,923","5.104,709","0,02%"
28.02.2026,"5.109,037","5.109,037","5.109,037","5.109,037","0,02%"
27.02.2026,"5.108,152","5.108,152","5.108,152","5.108,152","0,07%"
26.02.2026,"5.104,709","5.104,709","5.104,709","5.102,807","0,04%"
25.02.2026,"5.102,807","5.102,807","5.102,807","5.102,807","0,01%"
24.02.2026,"5.102,313","5.102,313","5.102,313","5.101,752","0,01%"
23.02.2026,"5.101,752","5.101,752","5.101,752","5.099,676","0,01%"
22.02.2026,"5.101,446","5.101,446","5.101,446","5.099,676","0,02%"
21.02.2026,"5.100,561","5.100,561","5.100,561","5.100,561","0,02%"
20.02.2026,"5.099,676","5.099,676","5.099,676","5.099,676","0,04%"
19.02.2026,"5.097,653","5.097,653","5.097,653","5.097,563","0,00%"
18.02.2026,"5.097,563","5.097,563","5.097,563","5.095,233","0,05%"
17.02.2026,"5.095,233","5.095,233","5.095,233","5.093,971","0,02%"
16.02.2026,"5.093,971","5.093,971","5.093,971","5.091,150","0,02%"
15.02.2026,"5.092,920","5.092,920","5.092,920","5.091,150","0,02%"
14.02.2026,"5.092,036","5.092,036","5.092,036","5.092,036","0,02%"
13.02.2026,"5.091,150","5.091,150","5.091,150","5.091,150","0,01%"
11.02.2026,"5.090,551","5.090,551","5.090,551","5.087,590","0,06%"
10.02.2026,"5.087,590","5.087,590","5.087,590","5.082,989","0,09%"
09.02.2026,"5.082,989","5.082,989","5.087,335","5.082,575","0,01%"
08.02.2026,"5.082,575","5.082,575","5.087,335","5.082,575","-0,00%"
07.02.2026,"5.082,636","5.082,636","5.082,636","5.082,636","-0,00%"
06.02.2026,"5.082,697","5.082,697","5.082,697","5.082,697","-0,09%"
05.02.2026,"5.087,335","5.087,335","5.087,335","5.084,575","0,05%"
04.02.2026,"5.084,575","5.084,575","5.084,575","5.083,878","0,01%"
03.02.2026,"5.083,878","5.083,878","5.083,878","5.082,319","0,03%"
02.02.2026,"5.082,319","5.082,319","5.082,319","5.076,501","0,04%"
01.02.2026,"5.080,184","5.080,184","5.080,330","5.076,501","-0,00%"
31.01.2026,"5.080,257","5.080,257","5.080,257","5.080,257","-0,00%"
30.01.2026,"5.080,330","5.080,330","5.080,330","5.080,330","0,08%"
29.01.2026,"5.076,501","5.076,501","5.076,501","5.074,079","0,05%"
28.01.2026,"5.074,079","5.074,079","5.074,079","5.069,887","0,08%"
27.01.2026,"5.069,887","5.069,887","5.069,887","5.069,887","0,02%"
26.01.2026,"5.068,636","5.068,636","5.070,316","5.068,636","-0,03%"
25.01.2026,"5.070,208","5.070,208","5.070,316","5.070,208","-0,00%"
