Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"2.618,044","2.617,879","2.618,044","2.617,879","0,00%"
23.03.2026,"2.618,044","2.618,044","2.618,044","2.616,771","0,05%"
22.03.2026,"2.616,771","2.616,771","2.616,921","2.616,771","-0,00%"
21.03.2026,"2.616,846","2.616,846","2.616,846","2.616,846","-0,00%"
20.03.2026,"2.616,921","2.616,921","2.616,921","2.616,921","-0,73%"
19.03.2026,"2.636,250","2.636,250","2.636,250","2.634,308","0,07%"
18.03.2026,"2.634,308","2.634,308","2.637,191","2.634,308","-0,11%"
17.03.2026,"2.637,191","2.637,191","2.637,191","2.634,715","0,09%"
16.03.2026,"2.634,715","2.634,715","2.634,715","2.626,195","0,32%"
15.03.2026,"2.626,195","2.626,195","2.627,781","2.626,195","-0,00%"
14.03.2026,"2.626,272","2.626,272","2.626,272","2.626,272","-0,00%"
13.03.2026,"2.626,348","2.626,348","2.626,348","2.626,348","-0,05%"
12.03.2026,"2.627,781","2.627,781","2.632,662","2.627,781","-0,19%"
11.03.2026,"2.632,662","2.632,662","2.634,125","2.632,662","-0,06%"
10.03.2026,"2.634,125","2.634,125","2.653,012","2.634,125","-0,71%"
09.03.2026,"2.653,012","2.653,012","2.653,012","2.648,129","0,18%"
08.03.2026,"2.648,185","2.648,185","2.648,185","2.648,129","0,00%"
07.03.2026,"2.648,158","2.648,158","2.648,158","2.648,158","0,00%"
06.03.2026,"2.648,129","2.648,129","2.648,129","2.648,129","0,25%"
05.03.2026,"2.641,546","2.641,546","2.641,546","2.634,526","0,27%"
04.03.2026,"2.634,526","2.634,526","2.635,696","2.634,526","-0,04%"
03.03.2026,"2.635,696","2.635,696","2.635,696","2.629,877","0,22%"
02.03.2026,"2.629,877","2.629,877","2.629,877","2.614,714","0,32%"
01.03.2026,"2.621,499","2.621,499","2.621,499","2.614,714","0,00%"
28.02.2026,"2.621,477","2.621,477","2.621,477","2.621,477","0,00%"
27.02.2026,"2.621,460","2.621,460","2.621,460","2.621,460","0,26%"
26.02.2026,"2.614,714","2.614,714","2.614,714","2.614,577","0,01%"
25.02.2026,"2.614,577","2.614,577","2.614,577","2.614,577","0,05%"
24.02.2026,"2.613,156","2.613,156","2.613,156","2.606,660","0,25%"
23.02.2026,"2.606,660","2.606,660","2.612,863","2.606,660","-0,24%"
22.02.2026,"2.612,863","2.612,863","2.612,863","2.612,831","0,00%"
21.02.2026,"2.612,847","2.612,847","2.612,847","2.612,847","0,00%"
20.02.2026,"2.612,831","2.612,831","2.612,831","2.612,831","0,40%"
19.02.2026,"2.602,421","2.602,421","2.602,421","2.598,224","0,16%"
18.02.2026,"2.598,224","2.598,224","2.601,634","2.598,224","-0,13%"
17.02.2026,"2.601,634","2.601,634","2.601,634","2.592,183","0,36%"
16.02.2026,"2.592,183","2.592,183","2.592,804","2.592,183","-0,02%"
15.02.2026,"2.592,804","2.592,804","2.592,804","2.592,766","0,00%"
14.02.2026,"2.592,785","2.592,785","2.592,785","2.592,785","0,00%"
13.02.2026,"2.592,766","2.592,766","2.592,766","2.592,766","-0,44%"
11.02.2026,"2.604,320","2.604,320","2.604,320","2.594,842","0,37%"
10.02.2026,"2.594,842","2.594,842","2.599,930","2.594,842","-0,20%"
09.02.2026,"2.599,930","2.599,930","2.599,930","2.589,975","0,14%"
08.02.2026,"2.596,322","2.596,322","2.596,564","2.589,975","-0,00%"
07.02.2026,"2.596,443","2.596,443","2.596,443","2.596,443","-0,00%"
06.02.2026,"2.596,564","2.596,564","2.596,564","2.596,564","0,25%"
05.02.2026,"2.589,975","2.589,975","2.593,015","2.589,975","-0,12%"
04.02.2026,"2.593,015","2.593,015","2.609,007","2.593,015","-0,61%"
03.02.2026,"2.609,007","2.609,007","2.622,595","2.609,007","-0,52%"
02.02.2026,"2.622,595","2.622,595","2.622,595","2.611,143","0,44%"
01.02.2026,"2.611,143","2.611,143","2.611,376","2.611,143","-0,00%"
31.01.2026,"2.611,259","2.611,259","2.611,259","2.611,259","-0,00%"
30.01.2026,"2.611,376","2.611,376","2.611,376","2.611,376","-0,02%"
29.01.2026,"2.611,838","2.611,838","2.613,180","2.611,838","-0,05%"
28.01.2026,"2.613,180","2.613,180","2.620,948","2.613,180","-0,30%"
27.01.2026,"2.620,948","2.620,948","2.620,948","2.620,948","0,38%"
26.01.2026,"2.610,901","2.610,901","2.616,725","2.610,901","-0,21%"
25.01.2026,"2.616,487","2.616,487","2.616,725","2.616,487","-0,00%"
24.01.2026,"2.616,606","2.616,606","2.616,606","2.616,606","-0,00%"
23.01.2026,"2.616,725","2.616,725","2.616,725","2.616,725","0,01%"
22.01.2026,"2.616,539","2.616,539","2.616,539","2.611,537","0,19%"
21.01.2026,"2.611,537","2.611,537","2.611,537","2.611,537","-0,28%"
20.01.2026,"2.618,964","2.618,964","2.632,182","2.618,964","-0,50%"
19.01.2026,"2.632,182","2.632,182","2.632,182","2.632,182","0,08%"
18.01.2026,"2.630,074","2.630,074","2.630,307","2.624,848","-0,00%"
17.01.2026,"2.630,191","2.630,191","2.630,191","2.630,191","-0,00%"
16.01.2026,"2.630,307","2.630,307","2.630,307","2.630,307","0,21%"
15.01.2026,"2.624,848","2.624,848","2.624,848","2.624,848","0,08%"
14.01.2026,"2.622,814","2.622,814","2.622,814","2.622,814","-0,17%"
13.01.2026,"2.627,373","2.627,373","2.627,373","2.627,373","0,00%"
12.01.2026,"2.627,343","2.627,343","2.627,343","2.627,343","-0,25%"
11.01.2026,"2.633,802","2.633,802","2.634,019","2.633,802","-0,00%"
10.01.2026,"2.633,910","2.633,910","2.633,910","2.633,910","-0,00%"
09.01.2026,"2.634,019","2.634,019","2.634,019","2.634,019","0,15%"
08.01.2026,"2.630,072","2.630,072","2.630,072","2.630,072","0,04%"
07.01.2026,"2.629,095","2.629,095","2.629,095","2.629,095","-0,22%"
06.01.2026,"2.634,967","2.634,967","2.634,967","2.634,967","0,10%"
05.01.2026,"2.632,289","2.632,289","2.632,289","2.632,289","0,87%"
04.01.2026,"2.609,571","2.609,571","2.620,080","2.609,533","0,00%"
03.01.2026,"2.609,552","2.609,552","2.609,552","2.609,552","0,00%"
02.01.2026,"2.609,533","2.609,533","2.609,533","2.609,533","-0,40%"
01.01.2026,"2.620,080","2.620,080","2.620,080","2.620,045","0,00%"
31.12.2025,"2.620,062","2.620,062","2.620,062","2.620,062","0,00%"
30.12.2025,"2.620,045","2.620,045","2.620,045","2.620,045","-0,25%"
29.12.2025,"2.626,639","2.626,639","2.626,639","2.619,085","0,29%"
28.12.2025,"2.619,125","2.619,125","2.619,125","2.619,085","0,00%"
27.12.2025,"2.619,105","2.619,105","2.619,105","2.619,105","0,00%"
26.12.2025,"2.619,085","2.619,085","2.619,085","2.619,085","0,13%"
25.12.2025,"2.615,641","2.615,641","2.615,641","2.615,622","0,00%"
24.12.2025,"2.615,622","2.615,622","2.615,622","2.613,813","0,07%"
23.12.2025,"2.613,813","2.613,813","2.613,813","2.611,575","0,09%"
22.12.2025,"2.611,575","2.611,575","2.611,575","2.611,575","0,22%"
21.12.2025,"2.605,859","2.605,859","2.605,859","2.599,143","0,00%"
20.12.2025,"2.605,842","2.605,842","2.605,842","2.605,842","0,00%"
19.12.2025,"2.605,824","2.605,824","2.605,824","2.605,824","0,26%"
18.12.2025,"2.599,143","2.599,143","2.599,143","2.594,665","0,17%"
17.12.2025,"2.594,665","2.594,665","2.594,665","2.594,665","-0,23%"
16.12.2025,"2.600,753","2.600,753","2.600,753","2.600,753","-0,27%"
15.12.2025,"2.607,709","2.607,709","2.607,709","2.607,709","-0,23%"
14.12.2025,"2.613,600","2.613,600","2.625,409","2.613,566","0,00%"
13.12.2025,"2.613,583","2.613,583","2.613,583","2.613,583","0,00%"
12.12.2025,"2.613,566","2.613,566","2.613,566","2.613,566","-0,45%"
11.12.2025,"2.625,409","2.625,409","2.625,409","2.622,255","0,12%"
10.12.2025,"2.622,255","2.622,255","2.622,255","2.620,949","0,05%"
09.12.2025,"2.620,949","2.620,949","2.620,949","2.614,777","0,12%"
08.12.2025,"2.617,906","2.617,906","2.618,090","2.614,777","-0,00%"
07.12.2025,"2.617,968","2.617,968","2.617,968","2.617,968","-0,00%"
06.12.2025,"2.618,029","2.618,029","2.618,029","2.618,029","-0,00%"
05.12.2025,"2.618,090","2.618,090","2.618,090","2.618,090","0,13%"
04.12.2025,"2.614,777","2.614,777","2.614,777","2.614,777","0,04%"
03.12.2025,"2.613,678","2.613,678","2.613,678","2.613,678","-0,10%"
02.12.2025,"2.616,238","2.616,238","2.617,270","2.616,238","-0,04%"
01.12.2025,"2.617,270","2.617,270","2.620,846","2.617,270","-0,13%"
30.11.2025,"2.620,715","2.620,715","2.620,846","2.620,715","-0,00%"
29.11.2025,"2.620,781","2.620,781","2.620,781","2.620,781","-0,00%"
28.11.2025,"2.620,846","2.620,846","2.620,846","2.620,846","0,21%"
27.11.2025,"2.615,340","2.615,340","2.615,340","2.614,128","0,05%"
26.11.2025,"2.614,128","2.614,128","2.614,128","2.610,945","0,12%"
25.11.2025,"2.610,945","2.610,945","2.610,945","2.597,400","0,52%"
24.11.2025,"2.597,400","2.597,400","2.597,400","2.597,400","0,52%"
23.11.2025,"2.583,996","2.583,996","2.584,133","2.583,996","-0,00%"
22.11.2025,"2.584,064","2.584,064","2.584,064","2.584,064","0,60%"
20.11.2025,"2.568,588","2.568,588","2.568,588","2.568,588","-0,68%"
19.11.2025,"2.586,056","2.586,056","2.586,056","2.581,299","0,18%"
