Fecha,Último,Apertura,Máximo,Mínimo,% var.
26.11.2025,"2.752,985","2.752,985","2.752,985","2.748,822","0,15%"
25.11.2025,"2.748,822","2.748,822","2.748,822","2.729,767","0,70%"
24.11.2025,"2.729,767","2.729,767","2.729,767","2.729,767","0,85%"
23.11.2025,"2.706,727","2.706,727","2.707,003","2.706,727","-0,01%"
22.11.2025,"2.706,865","2.706,865","2.706,865","2.706,865","0,91%"
20.11.2025,"2.682,500","2.682,500","2.682,500","2.682,500","-1,01%"
19.11.2025,"2.709,946","2.709,946","2.709,946","2.703,913","0,22%"
18.11.2025,"2.703,913","2.703,913","2.703,913","2.703,913","0,10%"
17.11.2025,"2.701,211","2.701,211","2.701,211","2.701,211","-1,24%"
16.11.2025,"2.735,000","2.735,000","2.735,285","2.730,895","-0,01%"
15.11.2025,"2.735,142","2.735,142","2.735,142","2.735,142","-0,01%"
14.11.2025,"2.735,285","2.735,285","2.735,285","2.735,285","0,16%"
13.11.2025,"2.730,895","2.730,895","2.730,895","2.730,895","-1,52%"
12.11.2025,"2.772,915","2.772,915","2.772,915","2.772,915","-0,12%"
11.11.2025,"2.776,145","2.776,145","2.776,145","2.776,145","0,13%"
10.11.2025,"2.772,633","2.772,633","2.772,633","2.772,633","0,41%"
09.11.2025,"2.761,266","2.761,266","2.765,155","2.743,863","-0,00%"
08.11.2025,"2.761,382","2.761,382","2.761,382","2.761,382","-0,00%"
07.11.2025,"2.761,498","2.761,498","2.761,498","2.761,498","0,64%"
06.11.2025,"2.743,863","2.743,863","2.765,155","2.743,863","-0,77%"
05.11.2025,"2.765,155","2.765,155","2.765,155","2.765,155","0,54%"
04.11.2025,"2.750,295","2.750,295","2.750,295","2.750,295","-0,69%"
03.11.2025,"2.769,490","2.769,490","2.769,490","2.769,490","0,03%"
02.11.2025,"2.768,743","2.768,743","2.769,102","2.768,743","-0,00%"
01.11.2025,"2.768,864","2.768,864","2.768,864","2.768,864","-0,00%"
31.10.2025,"2.768,984","2.768,984","2.768,984","2.768,984","-0,00%"
30.10.2025,"2.769,102","2.769,102","2.769,102","2.769,102","0,00%"
29.10.2025,"2.768,969","2.768,969","2.768,969","2.768,969","0,16%"
